s_m,x_m,y_m,kappa_radpm,w_tr_right_m,w_tr_left_m,d_m
0.000000,157.818929,-790.856936,-0.015670,9.778205,9.778205,0.614894
2.000000,159.054802,-789.289601,0.002511,9.859437,9.859437,0.497389
4.000000,160.347575,-787.768811,0.026979,9.890568,9.890568,0.319631
6.000000,161.464642,-786.117575,0.012160,9.866106,9.866106,0.375865
8.000000,162.528974,-784.428248,-0.015513,10.037724,10.037724,0.510237
10.000000,163.721732,-782.826650,-0.009950,10.047912,10.047912,0.503240
12.000000,164.915505,-781.225809,-0.000133,10.054243,10.054243,0.505397
14.000000,166.109765,-779.625331,0.000039,10.060247,10.060247,0.513524
16.000000,167.303738,-778.024638,-0.000187,10.063862,10.063862,0.525207
18.000000,168.497302,-776.423641,-0.000758,10.067246,10.067246,0.539568
20.000000,169.694361,-774.825257,-0.000879,10.067416,10.067416,0.548248
22.000000,170.894525,-773.229201,-0.000541,10.061674,10.061674,0.553648
24.000000,172.096200,-771.634282,-0.000131,10.054860,10.054860,0.569600
26.000000,173.298646,-770.039945,0.000169,10.047773,10.047773,0.611345
28.000000,174.499714,-768.444570,0.000168,10.041669,10.041669,0.623199
30.000000,175.700615,-766.849068,0.000176,10.034995,10.034995,0.625188
32.000000,176.901086,-765.253243,0.000297,10.027976,10.027976,0.626681
34.000000,178.100337,-763.656502,0.000307,10.023209,10.023209,0.628418
36.000000,179.298672,-762.059072,0.000183,10.021797,10.021797,0.629710
38.000000,180.496149,-760.460999,0.000024,10.022416,10.022416,0.629285
40.000000,181.693927,-758.863152,0.000065,10.023035,10.023035,0.626062
42.000000,182.891656,-757.265268,0.000228,10.023687,10.023687,0.622747
44.000000,184.088349,-755.666608,0.000282,10.024852,10.024852,0.617772
46.000000,185.284253,-754.067357,0.000339,10.026037,10.026037,0.612878
48.000000,186.479167,-752.467368,0.000512,10.028093,10.028093,0.608792
50.000000,187.672518,-750.866211,0.000608,10.031457,10.031457,0.606933
52.000000,188.863436,-749.263245,0.000414,10.037018,10.037018,0.609173
54.000000,190.052999,-747.659273,0.000080,10.043866,10.043866,0.613722
56.000000,191.242411,-746.055188,-0.000154,10.050080,10.050080,0.619904
58.000000,192.432459,-744.451576,-0.000257,10.054756,10.054756,0.626601
60.000000,193.623361,-742.848596,-0.000281,10.058372,10.058372,0.632065
62.000000,194.815213,-741.246325,-0.000265,10.060896,10.060896,0.635233
64.000000,196.007909,-739.644680,-0.000224,10.061911,10.061911,0.634893
66.000000,197.201358,-738.043597,-0.000139,10.061761,10.061761,0.631520
68.000000,198.395318,-736.442895,-0.000011,10.060942,10.060942,0.626379
70.000000,199.589285,-734.842197,0.000078,10.060220,10.060220,0.621252
72.000000,200.782867,-733.241214,0.000081,10.060367,10.060367,0.617542
74.000000,201.976207,-731.640049,0.000050,10.061456,10.061456,0.614345
76.000000,203.169382,-730.038762,0.000081,10.062472,10.062472,0.611212
78.000000,204.362493,-728.437427,0.000132,10.063074,10.063074,0.607968
80.000000,205.554867,-726.835542,0.000070,10.063735,10.063735,0.605523
82.000000,206.747091,-725.233546,-0.000020,10.065231,10.065231,0.603310
84.000000,207.939456,-723.631656,-0.000055,10.066752,10.066752,0.601286
86.000000,209.131944,-722.029857,-0.000049,10.068298,10.068298,0.599817
88.000000,210.324745,-720.428291,0.000000,10.069157,10.069157,0.599061
90.000000,211.517418,-718.826629,-0.000012,10.069863,10.069863,0.599702
92.000000,212.710031,-717.224924,-0.000123,10.070525,10.070525,0.601810
94.000000,213.903043,-715.623515,-0.000209,10.070904,10.070904,0.605014
96.000000,215.096897,-714.022733,-0.000209,10.070382,10.070382,0.608079
98.000000,216.291343,-712.422394,-0.000188,10.068600,10.068600,0.609189
100.000000,217.486437,-710.822538,-0.000167,10.065523,10.065523,0.607813
102.000000,218.682044,-709.223066,-0.000112,10.061953,10.061953,0.604550
104.000000,219.878111,-707.623937,-0.000058,10.058437,10.058437,0.599836
106.000000,221.074181,-706.024811,-0.000055,10.054674,10.054674,0.594532
108.000000,222.270523,-704.425888,-0.000092,10.050626,10.050626,0.588557
110.000000,223.467022,-702.827083,-0.000177,10.047042,10.047042,0.582330
112.000000,224.664108,-701.228717,-0.000253,10.043496,10.043496,0.575481
114.000000,225.862118,-699.631044,-0.000255,10.039603,10.039603,0.567712
116.000000,227.060921,-698.033965,-0.000210,10.035106,10.035106,0.559318
118.000000,228.260470,-696.437447,-0.000154,10.030740,10.030740,0.550607
120.000000,229.460411,-694.841224,-0.000081,10.026476,10.026476,0.542169
122.000000,230.660786,-693.245327,0.000038,10.022134,10.022134,0.533948
124.000000,231.860929,-691.649255,0.000147,10.018072,10.018072,0.526562
126.000000,233.060616,-690.052840,0.000207,10.014614,10.014614,0.520075
128.000000,234.259573,-688.455878,0.000202,10.012972,10.012972,0.514518
130.000000,235.457812,-686.858376,0.000159,10.011669,10.011669,0.509346
132.000000,236.655642,-685.260567,0.000197,10.010850,10.010850,0.503854
134.000000,237.852979,-683.662390,0.000261,10.011186,10.011186,0.498023
136.000000,239.049193,-682.063372,0.000200,10.011879,10.011879,0.492692
138.000000,240.244817,-680.463912,0.000192,10.013385,10.013385,0.487339
140.000000,241.440191,-678.864265,0.000280,10.015359,10.015359,0.481392
142.000000,242.634205,-677.263603,0.000232,10.017229,10.017229,0.475971
144.000000,243.827609,-675.662487,0.000187,10.018675,10.018675,0.470321
146.000000,245.020629,-674.061084,0.000249,10.020154,10.020154,0.464246
148.000000,246.212635,-672.458926,0.000210,10.022142,10.022142,0.458676
150.000000,247.403863,-670.856189,0.000009,10.024355,10.024355,0.453753
152.000000,248.594979,-669.253370,-0.000148,10.026403,10.026403,0.448966
154.000000,249.786978,-667.651207,-0.000060,10.028448,10.028448,0.443387
156.000000,250.979221,-666.049225,0.000094,10.031260,10.031260,0.438182
158.000000,252.170857,-664.446792,0.000065,10.034439,10.034439,0.435075
160.000000,253.362259,-662.844185,-0.000069,10.037421,10.037421,0.434462
162.000000,254.553909,-661.241763,-0.000135,10.039947,10.039947,0.436639
164.000000,255.746178,-659.639800,-0.000074,10.042734,10.042734,0.440436
166.000000,256.938688,-658.038018,0.000018,10.045546,10.045546,0.445553
168.000000,258.131046,-656.436121,-0.000009,10.048220,10.048220,0.451445
170.000000,259.323233,-654.834098,-0.000131,10.050456,10.050456,0.456994
172.000000,260.516032,-653.232531,-0.000187,10.052837,10.052837,0.460634
174.000000,261.709458,-651.631430,-0.000195,10.055073,10.055073,0.462566
176.000000,262.903414,-650.030726,-0.000218,10.055665,10.055665,0.463686
178.000000,264.098179,-648.430624,-0.000207,10.055578,10.055578,0.463897
180.000000,265.293583,-646.831000,-0.000149,10.055110,10.055110,0.463441
182.000000,266.489547,-645.231794,-0.000037,10.053583,10.053583,0.462421
184.000000,267.685655,-643.632696,0.000121,10.051953,10.051953,0.461331
186.000000,268.881384,-642.033315,0.000166,10.050297,10.050297,0.460763
188.000000,270.076177,-640.433235,0.000080,10.049180,10.049180,0.461257
190.000000,271.271097,-638.833249,0.000065,10.048441,10.048441,0.461141
192.000000,272.465677,-637.233010,0.000053,10.048082,10.048082,0.460795
194.000000,273.659976,-635.632560,-0.000016,10.047146,10.047146,0.460184
196.000000,274.854504,-634.032282,-0.000012,10.046646,10.046646,0.458929
198.000000,276.049056,-632.432022,0.000041,10.046829,10.046829,0.457355
200.000000,277.243487,-630.831671,0.000101,10.047162,10.047162,0.455596
202.000000,278.437612,-629.231091,0.000135,10.047815,10.047815,0.453826
204.000000,279.631180,-627.630097,0.000083,10.048700,10.048700,0.452315
206.000000,280.824445,-626.028876,0.000028,10.049763,10.049763,0.450654
208.000000,282.017815,-624.427734,0.000078,10.050611,10.050611,0.448390
210.000000,283.210916,-622.826392,0.000064,10.051269,10.051269,0.446016
212.000000,284.403456,-621.224631,-0.000086,10.051839,10.051839,0.443964
214.000000,285.596574,-619.623301,-0.000088,10.051644,10.051644,0.440874
216.000000,286.790196,-618.022347,0.000024,10.051061,10.051061,0.437084
218.000000,287.983360,-616.421051,-0.000000,10.050519,10.050519,0.434128
220.000000,289.176624,-614.819830,-0.000051,10.050011,10.050011,0.431709
222.000000,290.370150,-613.218805,0.000003,10.048596,10.048596,0.430100
224.000000,291.563698,-611.617795,0.000072,10.047279,10.047279,0.429601
226.000000,292.756899,-610.016527,0.000068,10.046445,10.046445,0.430599
228.000000,293.949855,-608.415076,0.000032,10.045625,10.045625,0.433446
230.000000,295.142775,-606.813599,0.000003,10.044309,10.044309,0.437288
232.000000,296.335598,-605.212049,-0.000038,10.042921,10.042921,0.440572
234.000000,297.528609,-603.610640,-0.000090,10.041169,10.041169,0.442008
236.000000,298.721832,-602.009388,-0.000164,10.038842,10.038842,0.441947
