s_m,x_m,y_m,kappa_radpm,w_tr_right_m,w_tr_left_m,d_m
0.000000,475.778222,-56.056325,0.000718,7.634426,7.634426,-1.331723
2.000000,474.508978,-57.600768,0.000326,7.636250,7.636250,-1.323105
4.000000,473.237475,-59.143352,-0.000419,7.637864,7.637864,-1.318237
6.000000,471.964889,-60.685042,-0.000250,7.639410,7.639410,-1.316960
8.000000,470.691555,-62.226116,-0.000154,7.640941,7.640941,-1.316972
10.000000,469.417714,-63.766770,-0.000088,7.642609,7.642609,-1.303571
12.000000,468.143740,-65.307315,-0.000081,7.644882,7.644882,-1.279388
14.000000,466.869460,-66.847605,-0.000088,7.647336,7.647336,-1.255235
16.000000,465.594932,-68.387691,-0.000094,7.649786,7.649786,-1.274023
18.000000,464.320128,-69.927549,-0.000088,7.652220,7.652220,-1.375068
20.000000,463.044968,-71.467112,-0.000046,7.654820,7.654820,-1.365173
22.000000,461.769714,-73.006596,0.000029,7.658079,7.658079,-1.364196
24.000000,460.494441,-74.546066,0.000136,7.661507,7.661507,-1.372804
26.000000,459.219654,-76.085938,0.000266,7.664944,7.664944,-1.376763
28.000000,457.945588,-77.626405,-0.000219,7.668386,7.668386,-1.391510
30.000000,456.672875,-79.167991,-0.000767,7.671828,7.671828,-1.401611
32.000000,455.394045,-80.704507,-0.000189,7.675336,7.675336,-1.416895
34.000000,454.116657,-82.242221,0.000332,7.678846,7.678846,-1.432606
36.000000,452.840176,-83.780688,0.000234,7.682359,7.682359,-1.448698
38.000000,451.564523,-85.319843,0.000073,7.685875,7.685875,-1.464625
40.000000,450.289187,-86.859260,-0.000051,7.689632,7.689632,-1.479929
42.000000,449.013284,-88.398207,0.000006,7.694355,7.694355,-1.494911
44.000000,447.737575,-89.937315,0.000081,7.699335,7.699335,-1.507564
46.000000,446.462117,-91.476630,0.000071,7.704319,7.704319,-1.518030
48.000000,445.186959,-93.016195,-0.000015,7.709306,7.709306,-1.526354
50.000000,443.911824,-94.555779,-0.000092,7.714528,7.714528,-1.532831
52.000000,442.636156,-96.094920,-0.000072,7.720729,7.720729,-1.538747
54.000000,441.360397,-97.633987,-0.000057,7.727189,7.727189,-1.543700
56.000000,440.084467,-99.172911,-0.000093,7.733652,7.733652,-1.547831
58.000000,438.808266,-100.711611,0.000149,7.740116,7.740116,-1.551737
60.000000,437.531628,-102.249949,0.000405,7.746580,7.746580,-1.555932
62.000000,436.257974,-103.790757,0.000112,7.752193,7.752193,-1.556442
64.000000,434.983772,-105.331113,-0.000178,7.757790,7.757790,-1.558301
66.000000,433.709061,-106.871047,-0.000154,7.763383,7.763383,-1.561007
68.000000,432.433728,-108.410467,0.000003,7.768975,7.768975,-1.564149
70.000000,431.158258,-109.949772,0.000122,7.774484,7.774484,-1.567493
72.000000,429.883725,-111.489854,-0.000008,7.779657,7.779657,-1.569788
74.000000,428.608953,-113.029739,-0.000154,7.784738,7.784738,-1.572605
76.000000,427.333629,-114.569165,-0.000160,7.789817,7.789817,-1.576368
78.000000,426.057755,-116.108136,-0.000024,7.794895,7.794895,-1.581001
80.000000,424.781558,-117.646839,0.000109,7.799890,7.799890,-1.585962
82.000000,423.506263,-119.186290,-0.000004,7.804543,7.804543,-1.589498
84.000000,422.230832,-120.725628,-0.000179,7.809107,7.809107,-1.593035
86.000000,420.954723,-122.264404,-0.000235,7.813669,7.813669,-1.597546
88.000000,419.677909,-123.802596,0.000198,7.818233,7.818233,-1.603249
90.000000,418.400288,-125.340117,0.000656,7.822798,7.822798,-1.610284
