s_m,x_m,y_m,kappa_radpm,w_tr_right_m,w_tr_left_m,d_m
0.000000,-372.265971,237.780572,-0.001479,8.598052,8.598052,-4.972310
2.000000,-372.239841,235.777274,0.000350,8.643445,8.643445,-4.971888
4.000000,-372.211819,233.774003,0.000836,8.688228,8.688228,-4.959129
6.000000,-372.178498,231.770813,0.000344,8.727720,8.727720,-4.930244
8.000000,-372.144237,229.767637,-0.000384,8.761155,8.761155,-4.889133
10.000000,-372.111639,227.764434,-0.000935,8.792340,8.792340,-4.835266
12.000000,-372.082818,225.761176,-0.001207,8.823874,8.823874,-4.772864
14.000000,-372.059784,223.757841,-0.001265,8.854836,8.854836,-4.704503
16.000000,-372.040783,221.754464,-0.001568,8.884685,8.884685,-4.626516
18.000000,-372.028233,219.751036,-0.002252,8.913641,8.913641,-4.542626
20.000000,-372.023927,217.747577,-0.002974,8.943482,8.943482,-4.453854
22.000000,-372.032845,215.744136,-0.002806,8.970759,8.970759,-4.361416
24.000000,-372.054822,213.740789,-0.002399,8.993016,8.993016,-4.269239
26.000000,-372.082512,211.737513,-0.003799,9.011950,9.011950,-4.172802
28.000000,-372.124234,209.734495,-0.005838,9.011853,9.011853,-4.078207
30.000000,-372.193155,207.732237,-0.006766,8.977116,8.977116,-3.998800
32.000000,-372.287324,205.731006,-0.007629,8.918207,8.918207,-3.932652
34.000000,-372.412335,203.731478,-0.009051,8.843241,8.843241,-3.886068
36.000000,-372.572686,201.734478,-0.008937,8.744691,8.744691,-3.862859
38.000000,-372.776404,199.741519,-0.005751,8.623352,8.623352,-3.866863
40.000000,-373.000953,197.750675,-0.004391,8.497323,8.497323,-3.883637
42.000000,-373.232352,195.760659,-0.006290,8.378114,8.378114,-3.903798
44.000000,-373.499233,193.775082,-0.005905,8.290501,8.290501,-3.942655
46.000000,-373.788468,191.792612,-0.003734,8.216872,8.216872,-3.991535
48.000000,-374.091455,189.812191,-0.002889,8.153167,8.153167,-4.039472
50.000000,-374.403906,187.833246,-0.002657,8.098589,8.098589,-4.079254
52.000000,-374.729505,185.856415,-0.001664,8.055088,8.055088,-4.115909
54.000000,-375.061469,183.880641,-0.000155,8.016956,8.016956,-4.142867
56.000000,-375.393923,181.904950,0.000681,7.978841,7.978841,-4.154392
58.000000,-375.721481,179.928440,0.000544,7.937095,7.937095,-4.146190
60.000000,-376.047551,177.951684,0.000160,7.894442,7.894442,-4.124228
62.000000,-376.372879,175.974806,-0.000008,7.851191,7.851191,-4.090286
64.000000,-376.698650,173.998001,0.000034,7.809376,7.809376,-4.046324
66.000000,-377.024403,172.021193,0.000085,7.767245,7.767245,-3.994406
68.000000,-377.349211,170.044229,-0.000232,7.725427,7.725427,-3.935172
70.000000,-377.674582,168.067358,-0.000843,7.683720,7.683720,-3.870515
72.000000,-378.003451,166.091067,-0.001174,7.645282,7.645282,-3.803010
74.000000,-378.338111,164.115748,-0.001022,7.612639,7.612639,-3.736194
76.000000,-378.676283,162.141027,-0.000866,7.583037,7.583037,-3.668358
78.000000,-379.017818,160.166885,-0.000625,7.557859,7.557859,-3.599816
80.000000,-379.362820,158.193345,-0.000252,7.537624,7.537624,-3.530736
82.000000,-379.707418,156.219735,-0.000199,7.519579,7.519579,-3.457598
84.000000,-380.053343,154.246356,-0.000519,7.503249,7.503249,-3.381847
86.000000,-380.400172,152.273137,-0.000904,7.489293,7.489293,-3.302605
88.000000,-380.752067,150.300815,-0.001162,7.480813,7.480813,-3.223911
90.000000,-381.107210,148.329076,-0.001370,7.477659,7.477659,-3.144477
92.000000,-381.469160,146.358577,-0.001201,7.481205,7.481205,-3.067835
94.000000,-381.835893,144.388960,-0.000640,7.490648,7.490648,-2.991492
96.000000,-382.205222,142.419828,-0.000114,7.501840,7.501840,-2.912712
98.000000,-382.574679,140.450720,0.000247,7.514321,7.514321,-2.829044
100.000000,-382.943080,138.481414,0.000236,7.525153,7.525153,-2.739291
102.000000,-383.309569,136.511751,0.000018,7.534613,7.534613,-2.642761
104.000000,-383.677210,134.542303,0.000028,7.544402,7.544402,-2.544692
106.000000,-384.044170,132.572728,0.000086,7.553959,7.553959,-2.443650
108.000000,-384.410903,130.603111,0.000070,7.563384,7.563384,-2.339962
110.000000,-384.777419,128.633453,0.000065,7.572827,7.572827,-2.233785
112.000000,-385.143494,126.663714,-0.000000,7.581652,7.581652,-2.125537
114.000000,-385.509646,124.693988,0.000038,7.590606,7.590606,-2.016008
116.000000,-385.876088,122.724317,0.000127,7.600182,7.600182,-1.905797
118.000000,-386.241272,120.754412,0.000053,7.609570,7.609570,-1.793673
120.000000,-386.606676,118.784547,0.000045,7.619253,7.619253,-1.681454
122.000000,-386.972066,116.814680,0.000049,7.628917,7.628917,-1.569117
124.000000,-387.336558,114.844647,-0.000037,7.638679,7.638679,-1.455733
126.000000,-387.702093,112.874807,-0.000038,7.648543,7.648543,-1.343249
128.000000,-388.067020,110.904855,-0.000012,7.657735,7.657735,-1.229884
130.000000,-388.432725,108.935046,0.000024,7.667703,7.667703,-1.116809
132.000000,-388.797673,106.965097,0.000051,7.677467,7.677467,-1.002136
134.000000,-389.162975,104.995214,0.000030,7.687328,7.687328,-0.886809
136.000000,-389.527523,103.025191,0.000009,7.697172,7.697172,-0.769548
138.000000,-389.892752,101.055295,0.000089,7.707132,7.707132,-0.651794
140.000000,-390.257235,99.085260,0.000138,7.716430,7.716430,-0.532456
142.000000,-390.621122,97.115115,0.000101,7.726106,7.726106,-0.412066
144.000000,-390.984772,95.144926,0.000080,7.735915,7.735915,-0.291356
146.000000,-391.347890,93.174639,0.000034,7.745420,7.745420,-0.170295
148.000000,-391.711053,91.204360,0.000027,7.755512,7.755512,-0.049579
150.000000,-392.074116,89.234063,-0.000017,7.765753,7.765753,0.070849
152.000000,-392.436903,87.263716,-0.000051,7.775313,7.775313,0.191064
154.000000,-392.800603,85.293536,0.000048,7.785253,7.785253,0.309842
156.000000,-393.163561,83.323220,0.000015,7.795383,7.795383,0.428953
158.000000,-393.526337,81.352870,-0.000055,7.804851,7.804851,0.547861
160.000000,-393.889989,79.382681,-0.000003,7.814789,7.814789,0.665416
162.000000,-394.252942,77.412364,0.000017,7.824819,7.824819,0.783111
164.000000,-394.616462,75.442151,0.000035,7.834599,7.834599,0.899426
166.000000,-394.979277,73.471808,0.000034,7.844487,7.844487,1.015290
168.000000,-395.342383,71.501519,-0.000014,7.853661,7.853661,1.129274
170.000000,-395.705079,69.531154,-0.000023,7.862801,7.862801,1.242197
172.000000,-396.068519,67.560927,-0.000000,7.870982,7.870982,1.352806
174.000000,-396.431239,65.590566,-0.000037,7.879378,7.879378,1.462293
176.000000,-396.794656,63.620335,0.000007,7.887424,7.887424,1.569240
178.000000,-397.157982,61.650086,0.000051,7.894985,7.894985,1.674891
180.000000,-397.520684,59.679722,-0.000012,7.903264,7.903264,1.779797
182.000000,-397.883924,57.709458,0.000019,7.911279,7.911279,1.882148
184.000000,-398.246907,55.739146,0.000017,7.919206,7.919206,1.981962
186.000000,-398.609564,53.768774,-0.000056,7.926932,7.926932,2.078194
188.000000,-398.972860,51.798520,-0.000027,7.934934,7.934934,2.169513
190.000000,-399.336089,49.828253,0.000013,7.943091,7.943091,2.256960
192.000000,-399.699237,47.857972,0.000012,7.951247,7.951247,2.340507
194.000000,-400.062408,45.887695,0.000074,7.959972,7.959972,2.418982
196.000000,-400.425424,43.917389,0.000171,7.967358,7.967358,2.490345
198.000000,-400.787551,41.946920,0.000140,7.974299,7.974299,2.554345
200.000000,-401.148913,39.976310,0.000094,7.979846,7.979846,2.610239
202.000000,-401.510490,38.005740,0.000102,7.984921,7.984921,2.657134
204.000000,-401.870916,36.034959,0.000020,7.989159,7.989159,2.696302
206.000000,-402.231821,34.064265,-0.000028,7.993923,7.993923,2.728429
208.000000,-402.592601,32.093549,-0.000005,7.998458,7.998458,2.755223
210.000000,-402.953599,30.122872,0.000018,8.002955,8.002955,2.776587
212.000000,-403.314362,28.152153,0.000021,8.007221,8.007221,2.793144
214.000000,-403.675093,26.181428,-0.000110,8.011947,8.011947,2.805432
216.000000,-404.035796,24.210697,-0.000113,8.016983,8.016983,2.812237
218.000000,-404.398323,22.240301,0.000191,8.022800,8.022800,2.809340
220.000000,-404.759017,20.269569,0.000563,8.028102,8.028102,2.800429
222.000000,-405.118531,18.298622,0.000862,8.030907,8.030907,2.784026
224.000000,-405.473345,16.326823,0.000737,8.031624,8.031624,2.761818
226.000000,-405.825115,14.354479,0.000341,8.029415,8.029415,2.733164
228.000000,-406.176032,12.381982,0.000033,8.025562,8.025562,2.695051
230.000000,-406.526318,10.409374,-0.000144,8.023556,8.023556,2.644023
232.000000,-406.878200,8.437049,0.000016,8.023072,8.023072,2.579620
234.000000,-407.229796,6.464673,0.000557,8.023147,8.023147,2.503274
