s_m,x_m,y_m,kappa_radpm,w_tr_right_m,w_tr_left_m,d_m
0.000000,257.307462,-263.289397,-0.003946,9.207456,9.207456,5.241073
2.000000,259.261841,-262.838164,0.003278,9.285097,9.285097,5.204709
4.000000,261.206151,-262.345083,0.002499,9.409300,9.409300,5.211944
6.000000,263.150967,-261.854000,0.000072,9.414845,9.414845,5.216305
8.000000,265.095463,-261.361654,0.000191,9.420111,9.420111,5.221563
10.000000,267.039810,-260.868716,0.000135,9.425403,9.425403,5.226466
12.000000,268.984023,-260.375250,0.000081,9.429885,9.429885,5.231558
14.000000,270.928121,-259.881327,-0.000031,9.432651,9.432651,5.236854
16.000000,272.872264,-259.387587,-0.000121,9.435859,9.435859,5.241801
18.000000,274.816555,-258.894429,-0.000101,9.438427,9.438427,5.246051
20.000000,276.760984,-258.401816,0.000018,9.440409,9.440409,5.249386
22.000000,278.705390,-257.909109,0.000117,9.442550,9.442550,5.252152
24.000000,280.649633,-257.415761,0.000137,9.445965,9.445965,5.254739
26.000000,282.593763,-256.921968,0.000186,9.448720,9.448720,5.256934
28.000000,284.537738,-256.427565,0.000162,9.450602,9.450602,5.259229
30.000000,286.481396,-255.931919,-0.000043,9.451867,9.451867,5.262625
32.000000,288.425199,-255.436839,-0.000108,9.453692,9.453692,5.265512
34.000000,290.369201,-254.942543,0.000040,9.455098,9.455098,5.267869
36.000000,292.313091,-254.447804,0.000064,9.457002,9.457002,5.271010
38.000000,294.256847,-253.952542,-0.000006,9.458717,9.458717,5.275085
40.000000,296.200728,-253.457768,0.000015,9.461038,9.461038,5.279253
42.000000,298.144516,-252.962633,0.000109,9.464294,9.464294,5.283860
44.000000,300.088305,-252.467497,0.000216,9.467549,9.467549,5.288467
46.000000,302.031750,-251.971016,0.000210,9.468568,9.468568,5.293780
48.000000,303.975021,-251.473854,0.000160,9.469585,9.469585,5.298434
50.000000,305.918147,-250.976125,-0.000396,9.472293,9.472293,5.302503
52.000000,307.861100,-250.477722,-0.001258,9.474759,9.474759,5.306883
54.000000,309.806096,-249.987409,-0.001168,9.469670,9.469670,5.303723
56.000000,311.752142,-249.501226,-0.000680,9.460745,9.460745,5.298432
58.000000,313.698656,-249.016916,-0.000695,9.449253,9.449253,5.292500
60.000000,315.645851,-248.535352,-0.000857,9.433910,9.433910,5.284233
62.000000,317.593904,-248.057274,-0.000861,9.415540,9.415540,5.272234
64.000000,319.542856,-247.582871,-0.000773,9.394111,9.394111,5.255655
66.000000,321.492446,-247.111098,-0.000722,9.369159,9.369159,5.235550
68.000000,323.442798,-246.642482,-0.000593,9.342507,9.342507,5.211440
70.000000,325.393712,-246.176211,-0.000343,9.312612,9.312612,5.184091
72.000000,327.344967,-245.711372,-0.000133,9.280536,9.280536,5.154629
74.000000,329.296259,-245.246686,-0.000172,9.246675,9.246675,5.124537
76.000000,331.247634,-244.782351,-0.000361,9.213321,9.213321,5.093892
78.000000,333.199448,-244.319861,-0.000426,9.177943,9.177943,5.061553
80.000000,335.151642,-243.858981,-0.000403,9.141237,9.141237,5.028112
82.000000,337.104214,-243.399702,-0.000405,9.102833,9.102833,4.994004
84.000000,339.057136,-242.941919,-0.000458,9.063095,9.063095,4.959266
86.000000,341.010471,-242.485896,-0.000463,9.021791,9.021791,4.923444
88.000000,342.964308,-242.032033,-0.000397,8.978893,8.978893,4.885896
90.000000,344.918417,-241.579341,-0.000404,8.934213,8.934213,4.847429
92.000000,346.872923,-241.128363,-0.000401,8.888351,8.888351,4.807303
94.000000,348.827830,-240.679128,-0.000281,8.839610,8.839610,4.765194
