s_m,x_m,y_m,kappa_radpm,w_tr_right_m,w_tr_left_m,d_m
0.000000,546.055840,76.188585,-0.040366,7.074981,7.074981,-3.256857
2.000000,544.083406,75.850400,0.020174,7.522992,7.522992,-3.576046
4.000000,542.150402,75.335543,0.027872,7.896035,7.896035,-3.671044
6.000000,540.254372,74.693338,0.008645,7.895628,7.895628,-3.644871
8.000000,538.358365,74.051069,0.001103,7.896192,7.896192,-3.611148
10.000000,536.464236,73.403289,0.000841,7.893011,7.893011,-3.562204
12.000000,534.572046,72.749862,-0.000155,7.882255,7.882255,-3.496521
14.000000,532.678463,72.100479,-0.000292,7.870995,7.870995,-3.424997
16.000000,530.784914,71.451001,0.000030,7.859518,7.859518,-3.344104
18.000000,528.891167,70.802095,0.000201,7.846469,7.846469,-3.253210
20.000000,526.997937,70.151683,0.000191,7.833305,7.833305,-3.149991
22.000000,525.104919,69.500657,0.000066,7.819992,7.819992,-3.035583
24.000000,523.211955,68.849472,0.000018,7.806484,7.806484,-2.914265
26.000000,521.319016,68.198214,-0.000006,7.792941,7.792941,-2.788248
28.000000,519.426069,67.546980,-0.000018,7.779423,7.779423,-2.658626
30.000000,517.533080,66.895868,-0.000015,7.765974,7.765974,-2.525320
32.000000,515.640088,66.244766,-0.000009,7.752660,7.752660,-2.388439
34.000000,513.747067,65.593748,0.000033,7.739518,7.739518,-2.248073
36.000000,511.854060,64.942686,0.000211,7.726481,7.726481,-2.103993
38.000000,509.961228,64.291119,0.000386,7.714280,7.714280,-1.955886
40.000000,508.069136,63.637405,0.000281,7.705156,7.705156,-1.802557
42.000000,506.177409,62.982635,0.000015,7.698270,7.698270,-1.646705
44.000000,504.285682,62.327865,-0.000143,7.691384,7.691384,-1.490853
46.000000,502.393670,61.673919,-0.000126,7.684370,7.684370,-1.337182
48.000000,500.501477,61.020498,-0.000267,7.677597,7.677597,-1.185514
50.000000,498.609274,60.367104,-0.000928,7.670548,7.670548,-1.033989
52.000000,496.715883,59.717173,-0.001406,7.667207,7.667207,-0.887066
54.000000,494.820063,59.074356,-0.001070,7.671333,7.671333,-0.749623
56.000000,492.923009,58.435185,-0.000560,7.679509,7.679509,-0.618483
58.000000,491.025339,57.797844,-0.000279,7.689926,7.689926,-0.491747
60.000000,489.127270,57.161695,-0.000157,7.702221,7.702221,-0.368095
62.000000,487.229193,56.525566,-0.000221,7.716724,7.716724,-0.245903
64.000000,485.330728,55.890597,-0.000216,7.731906,7.731906,-0.126325
66.000000,483.431922,55.256651,0.000053,7.747875,7.747875,-0.009247
68.000000,481.533090,54.622779,0.001025,7.763963,7.763963,0.106360
70.000000,479.634919,53.986934,0.001903,7.778146,7.778146,0.222770
72.000000,477.740708,53.339395,0.001373,7.779999,7.779999,0.350345
74.000000,475.847703,52.688328,0.000644,7.778252,7.778252,0.480699
76.000000,473.955418,52.035175,0.000476,7.774425,7.774425,0.612837
78.000000,472.063846,51.379959,0.000372,7.768478,7.768478,0.747559
80.000000,470.172618,50.723749,0.000348,7.761579,7.761579,0.884465
82.000000,468.281940,50.065958,0.000266,7.753047,7.753047,1.023669
84.000000,466.391649,49.407052,-0.000412,7.743725,7.743725,1.163992
86.000000,464.501434,48.747931,-0.001133,7.733724,7.733724,1.304222
88.000000,462.608537,48.096597,-0.000270,7.714674,7.714674,1.435928
90.000000,460.715022,47.447073,0.000489,7.693572,7.693572,1.566188
92.000000,458.824015,46.790226,-0.000351,7.688618,7.688618,1.703845
94.000000,456.931138,46.138795,-0.000678,7.685364,7.685364,1.835385
96.000000,455.037639,45.489169,-0.000305,7.681982,7.681982,1.965077
98.000000,453.143711,44.840792,-0.000161,7.679385,7.679385,2.093434
100.000000,451.249674,44.192735,-0.000112,7.677088,7.677088,2.221459
102.000000,449.355451,43.545222,-0.000036,7.675234,7.675234,2.348824
104.000000,447.461131,42.897994,0.000037,7.673779,7.673779,2.475684
106.000000,445.567003,42.250202,0.000010,7.672979,7.672979,2.602714
108.000000,443.672781,41.602686,0.000060,7.672674,7.672674,2.728772
110.000000,441.778607,40.955028,0.000112,7.672672,7.672672,2.854319
112.000000,439.884741,40.306471,0.000013,7.673505,7.673505,2.980118
114.000000,437.990790,39.658163,-0.000045,7.674130,7.674130,3.104977
116.000000,436.096769,39.010060,-0.000022,7.674759,7.674759,3.228971
118.000000,434.202741,38.361975,-0.000024,7.675494,7.675494,3.352193
120.000000,432.308682,37.713984,-0.000032,7.676318,7.676318,3.474666
122.000000,430.414570,37.066146,-0.000031,7.677279,7.677279,3.596462
124.000000,428.520427,36.418397,-0.000033,7.678426,7.678426,3.718067
126.000000,426.626237,35.770789,-0.000036,7.679637,7.679637,3.839843
128.000000,424.732000,35.123315,-0.000036,7.681040,7.681040,3.961846
130.000000,422.837715,34.475982,-0.000041,7.682579,7.682579,4.084025
132.000000,420.943386,33.828780,-0.000057,7.684129,7.684129,4.206317
134.000000,419.048982,33.181797,-0.000070,7.685933,7.685933,4.328588
136.000000,417.154475,32.535115,-0.000058,7.687919,7.687919,4.450742
138.000000,415.259887,31.888670,-0.000054,7.690083,7.690083,4.572907
140.000000,413.365263,31.242332,-0.000068,7.692468,7.692468,4.695295
142.000000,411.470514,30.596358,-0.000060,7.694999,7.694999,4.817691
144.000000,409.575698,29.950582,-0.000049,7.697696,7.697696,4.940188
146.000000,407.680831,29.304955,-0.000081,7.700535,7.700535,5.062659
148.000000,405.785879,28.659580,-0.000134,7.703623,7.703623,5.184848
150.000000,403.890731,28.014779,-0.000142,7.707153,7.707153,5.306125
152.000000,401.995367,27.370612,-0.000036,7.711281,7.711281,5.425873
154.000000,400.099900,26.726752,0.000087,7.715791,7.715791,5.544161
156.000000,398.204670,26.082192,0.000109,7.721509,7.721509,5.661717
158.000000,396.309516,25.437408,-0.000001,7.727718,7.727718,5.777656
160.000000,394.414537,24.792111,-0.000459,7.734720,7.734720,5.892023
162.000000,392.519127,24.148081,-0.000805,7.742263,7.742263,6.002629
164.000000,390.622041,23.509003,-0.000479,7.755044,7.755044,6.105464
166.000000,388.724602,22.870977,-0.000129,7.769119,7.769119,6.204260
168.000000,386.827089,22.233168,-0.000105,7.784053,7.784053,6.298508
170.000000,384.929419,21.595827,-0.000116,7.799464,7.799464,6.386768
172.000000,383.031599,20.958936,-0.000149,7.815347,7.815347,6.466680
174.000000,381.133643,20.322446,-0.000147,7.831351,7.831351,6.538540
176.000000,379.235350,19.686965,-0.000064,7.846558,7.846558,6.600611
178.000000,377.337119,19.051297,-0.000045,7.861777,7.861777,6.651669
180.000000,375.438776,18.415962,-0.000106,7.876274,7.876274,6.691096
182.000000,373.540368,17.780825,-0.000107,7.890046,7.890046,6.720467
184.000000,371.641665,17.146569,-0.000092,7.903673,7.903673,6.737367
186.000000,369.743072,16.511982,-0.000118,7.916349,7.916349,6.735544
188.000000,367.844086,15.878574,-0.000073,7.929992,7.929992,6.709835
190.000000,365.945180,15.244926,-0.000063,7.943239,7.943239,6.662639
192.000000,364.046138,14.611685,-0.000091,7.955896,7.955896,6.592141
