s_m,x_m,y_m,kappa_radpm,w_tr_right_m,w_tr_left_m,d_m
0.000000,461.951818,-112.219964,-0.000394,9.540780,9.540780,-3.825980
2.000000,460.605774,-113.697857,-0.001201,9.476801,9.476801,-3.776534
4.000000,459.255652,-115.172024,-0.001941,9.419820,9.419820,-3.733219
6.000000,457.899809,-116.640930,-0.002329,9.372742,9.372742,-3.697708
8.000000,456.536671,-118.103069,-0.002332,9.337877,9.337877,-3.671073
10.000000,455.166567,-119.558682,-0.002044,9.314534,9.314534,-3.657093
12.000000,453.790474,-121.008636,-0.001660,9.301076,9.301076,-3.656937
14.000000,452.409562,-122.454002,-0.001278,9.295333,9.295333,-3.665753
16.000000,451.025051,-123.895920,-0.000954,9.295033,9.295033,-3.679270
18.000000,449.637799,-125.335202,-0.000657,9.298658,9.298658,-3.698224
20.000000,448.248635,-126.772638,-0.000389,9.304771,9.304771,-3.721016
22.000000,446.858481,-128.209117,-0.000214,9.311803,9.311803,-3.744827
24.000000,445.467751,-129.645039,-0.000113,9.319343,9.319343,-3.766464
26.000000,444.076701,-131.080651,-0.000019,9.327014,9.327014,-3.788212
28.000000,442.685565,-132.516179,0.000072,9.334507,9.334507,-3.727089
30.000000,441.294703,-133.951972,0.000120,9.341521,9.341521,-3.740224
32.000000,439.904203,-135.388118,0.000149,9.347875,9.347875,-3.756168
34.000000,438.514081,-136.824628,0.000186,9.353384,9.353384,-3.769549
36.000000,437.124556,-138.261715,0.000197,9.357951,9.357951,-3.777197
38.000000,435.735596,-139.699349,0.000185,9.361639,9.361639,-3.783763
40.000000,434.347170,-141.137499,0.000162,9.364562,9.364562,-3.789978
42.000000,432.959234,-142.576122,0.000121,9.367179,9.367179,-3.800082
44.000000,431.571645,-144.015079,0.000073,9.369700,9.369700,-3.806407
46.000000,430.184264,-145.454236,0.000046,9.372335,9.372335,-3.813484
48.000000,428.796966,-146.893474,0.000052,9.375257,9.375257,-3.821702
50.000000,427.409822,-148.332860,0.000073,9.378417,9.378417,-3.831173
52.000000,426.022890,-149.772451,0.000096,9.381777,9.381777,-3.841527
54.000000,424.636225,-151.212298,0.000113,9.385204,9.385204,-3.851719
56.000000,423.249923,-152.652495,0.000102,9.388583,9.388583,-3.861231
58.000000,421.863927,-154.092987,0.000074,9.391843,9.391843,-3.870088
60.000000,420.478125,-155.533666,0.000061,9.394943,9.394943,-3.878386
62.000000,419.092481,-156.974495,0.000068,9.397902,9.397902,-3.886211
64.000000,417.707032,-158.415513,0.000062,9.400745,9.400745,-3.893602
66.000000,416.321816,-159.856755,0.000038,9.403515,9.403515,-3.900621
68.000000,414.936658,-161.298052,0.000027,9.406293,9.406293,-3.907602
70.000000,413.551590,-162.739436,0.000026,9.409128,9.409128,-3.914561
72.000000,412.166598,-164.180893,0.000018,9.412070,9.412070,-3.921602
74.000000,410.781667,-165.622409,0.000016,9.415168,9.415168,-3.928841
76.000000,409.396749,-167.063936,0.000021,9.418405,9.418405,-3.936217
78.000000,408.011924,-168.505554,0.000018,9.421766,9.421766,-3.943321
80.000000,406.627145,-169.947216,0.000011,9.425179,9.425179,-3.950075
82.000000,405.242391,-171.388901,0.000024,9.428594,9.428594,-3.956322
84.000000,403.857671,-172.830619,0.000037,9.431979,9.431979,-3.961850
86.000000,402.473135,-174.272514,0.000023,9.435316,9.435316,-3.966465
88.000000,401.088627,-175.714436,0.000011,9.438721,9.438721,-3.970604
90.000000,399.704148,-177.156386,-0.000000,9.442290,9.442290,-3.974503
92.000000,398.319711,-178.598376,-0.000027,9.446176,9.446176,-3.978134
94.000000,396.935156,-180.040253,-0.000049,9.450511,9.450511,-3.981873
96.000000,395.550481,-181.482014,-0.000061,9.455350,9.455350,-3.986099
98.000000,394.165601,-182.923579,-0.000065,9.460753,9.460753,-3.991307
100.000000,392.780548,-184.364977,-0.000065,9.466737,9.466737,-3.997678
102.000000,391.395293,-185.806182,-0.000046,9.473253,9.473253,-4.005113
104.000000,390.009867,-187.247222,-0.000018,9.480243,9.480243,-4.013289
106.000000,388.624461,-188.688280,-0.000011,9.487569,9.487569,-4.021711
108.000000,387.238980,-190.129268,-0.000003,9.495137,9.495137,-4.030298
110.000000,385.853499,-191.570254,0.000005,9.502866,9.502866,-4.038843
112.000000,384.468064,-193.011285,-0.000012,9.510692,9.510692,-4.047174
114.000000,383.082596,-194.452284,-0.000036,9.518678,9.518678,-4.055290
116.000000,381.697007,-195.893167,-0.000042,9.526868,9.526868,-4.063260
118.000000,380.311275,-197.333913,-0.000042,9.535356,9.535356,-4.071175
120.000000,378.925462,-198.774581,-0.000059,9.544110,9.544110,-4.079172
122.000000,377.539475,-200.215081,-0.000072,9.553084,9.553084,-4.087892
124.000000,376.153233,-201.655336,-0.000071,9.562197,9.562197,-4.097722
126.000000,374.766851,-203.095456,-0.000094,9.571337,9.571337,-4.108495
128.000000,373.380183,-204.535301,-0.000132,9.580491,9.580491,-4.120476
130.000000,371.993144,-205.974789,-0.000170,9.589648,9.589648,-4.133667
132.000000,370.605612,-207.413801,-0.000213,9.598894,9.598894,-4.148013
134.000000,369.217477,-208.852231,-0.000273,9.608277,9.608277,-4.163383
136.000000,367.828588,-210.289933,-0.000327,9.617847,9.617847,-4.179705
138.000000,366.438668,-211.726639,-0.000328,9.627660,9.627660,-4.197077
140.000000,365.047810,-213.162437,-0.000299,9.637578,9.637578,-4.215106
142.000000,363.656088,-214.597397,-0.000255,9.647477,9.647477,-4.233524
144.000000,362.263598,-216.031612,-0.000186,9.657116,9.657116,-4.251995
146.000000,360.870589,-217.465323,-0.000106,9.666223,9.666223,-4.270007
148.000000,359.477255,-218.898718,-0.000029,9.674650,9.674650,-4.287258
150.000000,358.083870,-220.332064,0.000023,9.682243,9.682243,-4.303634
152.000000,356.690584,-221.765505,0.000037,9.689110,9.689110,-4.319245
154.000000,355.297419,-223.199065,0.000044,9.695328,9.695328,-4.334233
156.000000,353.904339,-224.632707,0.000067,9.700994,9.700994,-4.348668
158.000000,352.511469,-226.066552,0.000097,9.706351,9.706351,-4.362603
160.000000,351.118868,-227.500659,0.000118,9.711579,9.711579,-4.376096
162.000000,349.726634,-228.935123,0.000115,9.716867,9.716867,-4.388927
164.000000,348.334749,-230.369925,0.000083,9.722559,9.722559,-4.401135
166.000000,346.943118,-231.804973,0.000041,9.728978,9.728978,-4.412798
168.000000,345.551578,-233.240110,-0.000008,9.736401,9.736401,-4.423898
170.000000,344.160070,-234.675278,-0.000079,9.745152,9.745152,-4.434931
172.000000,342.768317,-236.110208,-0.000181,9.755379,9.755379,-4.446810
174.000000,341.376119,-237.544706,-0.000287,9.767094,9.767094,-4.460160
176.000000,339.982979,-238.978290,-0.000339,9.780080,9.780080,-4.475329
178.000000,338.588875,-240.410936,-0.000361,9.793825,9.793825,-4.491940
180.000000,337.193753,-241.842591,-0.000373,9.808004,9.808004,-4.509987
182.000000,335.797494,-243.273137,-0.000352,9.822219,9.822219,-4.529716
184.000000,334.400254,-244.702725,-0.000317,9.836082,9.836082,-4.551114
186.000000,333.002086,-246.131405,-0.000284,9.849488,9.849488,-4.574235
188.000000,331.603133,-247.559316,-0.000258,9.862369,9.862369,-4.598784
190.000000,330.203431,-248.986494,-0.000233,9.874661,9.874661,-4.624494
192.000000,328.803071,-250.413026,-0.000201,9.886343,9.886343,-4.651155
194.000000,327.402113,-251.838970,-0.000144,9.897407,9.897407,-4.678716
196.000000,326.000717,-253.264484,-0.000064,9.908161,9.908161,-4.706808
198.000000,324.599155,-254.689835,0.000028,9.919016,9.919016,-4.734943
200.000000,323.197628,-256.115220,0.000158,9.930350,9.930350,-4.763070
202.000000,321.796515,-257.541012,0.000319,9.942830,9.942830,-4.791369
204.000000,320.396346,-258.967731,0.000453,9.957071,9.957071,-4.819713
206.000000,318.997515,-260.395762,0.000537,9.973367,9.973367,-4.847810
208.000000,317.600231,-261.825307,0.000568,9.991886,9.991886,-4.875470
210.000000,316.204654,-263.256518,0.000536,10.012564,10.012564,-4.902530
212.000000,314.810615,-264.689228,0.000434,10.035196,10.035196,-4.929166
214.000000,313.417924,-266.123247,0.000278,10.059467,10.059467,-4.955537
216.000000,312.025969,-267.557982,0.000128,10.084896,10.084896,-4.982382
218.000000,310.634386,-268.993076,-0.000023,10.111104,10.111104,-5.009526
220.000000,309.242786,-270.428155,-0.000152,10.137706,10.137706,-5.036455
222.000000,307.850582,-271.862648,-0.000179,10.164126,10.164126,-5.063108
224.000000,306.457859,-273.296637,-0.000110,10.190234,10.190234,-5.089023
226.000000,305.064722,-274.730223,0.000022,10.215915,10.215915,-5.113857
228.000000,303.671669,-276.163891,0.000151,10.241175,10.241175,-5.136875
230.000000,302.279109,-277.598038,0.000225,10.266189,10.266189,-5.157478
232.000000,300.887208,-279.032825,0.000225,10.291077,10.291077,-5.175346
234.000000,299.496081,-280.468362,0.000131,10.315979,10.315979,-5.190391
236.000000,298.105331,-281.904264,-0.000026,10.340833,10.340833,-5.203425
238.000000,296.714558,-283.340145,-0.000164,10.365568,10.365568,-5.215352
240.000000,295.323150,-284.775409,-0.000215,10.390059,10.390059,-5.227319
242.000000,293.931155,-286.210104,-0.000228,10.414188,10.414188,-5.239500
244.000000,292.538505,-287.644164,-0.000224,10.437915,10.437915,-5.252252
246.000000,291.145136,-289.077525,-0.000175,10.461185,10.461185,-5.265991
248.000000,289.751294,-290.510426,-0.000122,10.484013,10.484013,-5.280714
250.000000,288.357116,-291.943000,-0.000071,10.506644,10.506644,-5.296392
252.000000,286.962680,-293.375323,0.000014,10.529325,10.529325,-5.312970
254.000000,285.568278,-294.807679,0.000113,10.552530,10.552530,-5.330046
256.000000,284.174220,-296.240370,0.000219,10.576533,10.576533,-5.347121
258.000000,282.780736,-297.673620,0.000292,10.601533,10.601533,-5.363949
260.000000,281.388269,-299.107857,0.000238,10.627600,10.627600,-5.380089
262.000000,279.996543,-300.542813,0.000028,10.655377,10.655377,-5.396164
264.000000,278.605044,-301.977989,-0.000195,10.685526,10.685526,-5.413162
266.000000,277.212670,-303.412317,-0.000142,10.719628,10.719628,-5.432840
268.000000,275.819578,-304.845947,0.000312,10.756214,10.756214,-5.455135
270.000000,274.427173,-306.280243,0.001336,10.791521,10.791521,-5.478001
272.000000,273.037699,-307.717380,0.002862,10.820093,10.820093,-5.498247
274.000000,271.657051,-309.162994,0.004306,10.829151,10.829151,-5.507722
276.000000,270.288892,-310.620425,0.005408,10.811107,10.811107,-5.501651
278.000000,268.937004,-312.092962,0.006020,10.758395,10.758395,-5.475156
280.000000,267.603521,-313.582184,0.006065,10.667585,10.667585,-5.425584
282.000000,266.288262,-315.087528,0.005648,10.539689,10.539689,-5.353230
284.000000,264.990743,-316.608191,0.004737,10.376269,10.376269,-5.258253
286.000000,263.707787,-318.141163,0.003588,10.184720,10.184720,-5.144564
288.000000,262.435699,-319.683170,0.002407,9.972791,9.972791,-5.016621
290.000000,261.171355,-321.231534,0.001283,9.746948,9.746948,-4.878744
292.000000,259.910345,-322.782616,0.000565,9.516656,9.516656,-4.737230
294.000000,258.650798,-324.334886,0.000261,9.286013,9.286013,-4.594234
296.000000,257.392002,-325.887765,-0.000011,9.056795,9.056795,-4.450175
298.000000,256.133477,-327.440864,-0.000524,8.830074,8.830074,-4.304801
300.000000,254.873519,-328.992800,-0.001300,8.608878,8.608878,-4.159821
302.000000,253.609652,-330.541553,-0.002127,8.397239,8.397239,-4.017625
304.000000,252.338939,-332.084693,-0.002657,8.199802,8.199802,-3.882071
306.000000,251.059556,-333.620654,-0.002796,8.019354,8.019354,-3.754814
308.000000,249.771667,-335.149487,-0.002621,7.855018,7.855018,-3.634790
310.000000,248.475198,-336.671053,-0.002230,7.706263,7.706263,-3.521102
312.000000,247.172417,-338.187218,-0.001924,7.567407,7.567407,-3.409431
314.000000,245.863738,-339.698297,-0.001794,7.437079,7.437079,-3.297691
316.000000,244.549873,-341.204867,-0.001852,7.313484,7.313484,-3.183526
318.000000,243.230636,-342.706736,-0.002120,7.195445,7.195445,-3.067633
320.000000,241.905057,-344.203010,-0.002525,7.083037,7.083037,-2.952181
322.000000,240.572133,-345.692743,-0.003040,6.976982,6.976982,-2.838520
324.000000,239.230115,-347.174290,-0.003567,6.879257,6.879257,-2.728558
326.000000,237.877543,-348.646204,-0.004085,6.791548,6.791548,-2.622701
328.000000,236.513084,-350.107103,-0.004710,6.715638,6.715638,-2.521678
330.000000,235.135097,-351.555246,-0.005267,6.653707,6.653707,-2.426447
332.000000,233.741334,-352.988210,-0.005404,6.610133,6.610133,-2.337629
334.000000,232.332021,-354.405880,-0.004920,6.585627,6.585627,-2.251787
336.000000,230.907988,-355.808772,-0.003606,6.579703,6.579703,-2.164899
338.000000,229.473390,-357.200860,-0.001930,6.586359,6.586359,-2.068541
