s_m,x_m,y_m,kappa_radpm,w_tr_right_m,w_tr_left_m,d_m
0.000000,254.636692,-615.297300,-0.000066,6.388000,6.699000,-3.909517
2.000000,255.078285,-617.247750,-0.000025,6.376585,6.690169,-3.831916
4.000000,255.519737,-619.198233,-0.000041,6.360440,6.676355,-3.745750
6.000000,255.961107,-621.148733,-0.000106,6.343907,6.661952,-3.650504
8.000000,256.402142,-623.099309,-0.000235,6.328714,6.648756,-3.546081
10.000000,256.842272,-625.050089,-0.000400,6.313972,6.635975,-3.432822
12.000000,257.280881,-627.001214,-0.000589,6.298904,6.622904,-3.311324
14.000000,257.717201,-628.952851,-0.000790,6.283599,6.609609,-3.182230
16.000000,258.150429,-630.905177,-0.000989,6.268350,6.596341,-3.046235
18.000000,258.579789,-632.858359,-0.001183,6.253197,6.583162,-2.904669
20.000000,259.004529,-634.812551,-0.001376,6.237928,6.569938,-2.758485
22.000000,259.423896,-636.767904,-0.001569,6.222459,6.556603,-2.600350
24.000000,259.838019,-638.728817,-0.001764,6.207208,6.543359,-2.441146
26.000000,260.244323,-640.686928,-0.001961,6.192769,6.530536,-2.282704
28.000000,260.642949,-642.646616,-0.002155,6.178325,6.517715,-2.121424
30.000000,261.033127,-644.608005,-0.002349,6.161812,6.503849,-1.961001
32.000000,261.414086,-646.571208,-0.002541,6.142836,6.488735,-1.803547
34.000000,261.785065,-648.536322,-0.002734,6.127660,6.475544,-1.647103
36.000000,262.145300,-650.503438,-0.002930,6.123856,6.468109,-1.495977
38.000000,262.494008,-652.472632,-0.003119,6.132264,6.466881,-1.347604
40.000000,262.830388,-654.443966,-0.003251,6.147194,6.469035,-1.201276
42.000000,263.153793,-656.417473,-0.003288,6.163685,6.472084,-1.061887
44.000000,263.464178,-658.393074,-0.003266,6.180614,6.475370,-0.917009
46.000000,263.761647,-660.370659,-0.003232,6.197791,6.478683,-0.771596
48.000000,264.046323,-662.350123,-0.003193,6.215026,6.481909,-0.631997
50.000000,264.318353,-664.331367,-0.003154,6.232134,6.485024,-0.497577
52.000000,264.577887,-666.314313,-0.003117,6.248992,6.488064,-0.367721
54.000000,264.825055,-668.298812,-0.003081,6.265710,6.491266,-0.234538
56.000000,265.059988,-670.284795,-0.003045,6.282461,6.494882,-0.094218
58.000000,265.282824,-672.272173,-0.003010,6.299468,6.498491,0.046747
60.000000,265.493691,-674.260855,-0.002975,6.316996,6.500997,0.184220
62.000000,265.692723,-676.250756,-0.002941,6.334935,6.502169,0.318483
64.000000,265.880048,-678.241794,-0.002907,6.351656,6.505326,0.449798
66.000000,266.055793,-680.233886,-0.002874,6.365178,6.514608,0.578476
68.000000,266.220086,-682.226955,-0.002842,6.374177,6.532484,0.704956
70.000000,266.373049,-684.220926,-0.002810,6.377985,6.559733,0.829703
72.000000,266.514807,-686.215723,-0.002778,6.376564,6.596112,0.953142
