s_m,x_m,y_m,kappa_radpm,w_tr_right_m,w_tr_left_m,d_m
0.000000,608.761552,-622.587871,-0.000739,6.927436,6.927436,2.670569
2.000000,606.767768,-622.397429,-0.000460,6.927690,6.927690,2.632127
4.000000,604.774186,-622.204884,-0.000473,6.927977,6.927977,2.592450
6.000000,602.780750,-622.010838,-0.000474,6.928429,6.928429,2.552073
8.000000,600.787554,-621.814343,-0.000433,6.928674,6.928674,2.510094
10.000000,598.794474,-621.616673,-0.000369,6.929494,6.929494,2.467897
12.000000,596.801605,-621.416884,-0.000237,6.930162,6.930162,2.424539
14.000000,594.808784,-621.216609,-0.000137,6.930483,6.930483,2.381790
16.000000,592.816034,-621.015640,-0.000101,6.930698,6.930698,2.339346
18.000000,590.823315,-620.814364,-0.000034,6.930603,6.930603,2.297515
20.000000,588.830627,-620.612777,0.000040,6.930186,6.930186,2.256512
22.000000,586.837901,-620.411570,0.000165,6.929107,6.929107,2.216940
24.000000,584.845154,-620.210560,0.000216,6.927563,6.927563,2.178437
26.000000,582.852221,-620.011410,0.000139,6.925807,6.925807,2.142239
28.000000,580.859335,-619.811792,0.000168,6.923668,6.923668,2.102314
30.000000,578.866320,-619.613469,0.000167,6.920262,6.920262,2.060150
32.000000,576.873249,-619.415710,0.000073,6.916794,6.916794,2.016437
34.000000,574.880153,-619.218192,0.000078,6.913969,6.913969,1.986683
36.000000,572.887046,-619.020789,0.000111,6.909973,6.909973,1.961754
38.000000,570.893863,-618.824159,0.000059,6.906744,6.906744,1.930699
40.000000,568.900669,-618.627646,-0.000020,6.903726,6.903726,1.899833
42.000000,566.907479,-618.431075,-0.000046,6.900148,6.900148,1.869227
44.000000,564.914322,-618.234184,-0.000031,6.897750,6.897750,1.838875
46.000000,562.921168,-618.037259,-0.000039,6.894879,6.894879,1.809198
48.000000,560.928025,-617.840220,-0.000031,6.892764,6.892764,1.780370
50.000000,558.934919,-617.642817,-0.000046,6.891637,6.891637,1.752239
52.000000,556.941777,-617.445763,-0.000054,6.890701,6.890701,1.725528
54.000000,554.948742,-617.247636,0.000012,6.890635,6.890635,1.698878
56.000000,552.955615,-617.050445,0.000031,6.890823,6.890823,1.674167
58.000000,550.962547,-616.852651,-0.000008,6.891422,6.891422,1.649762
