s_m,x_m,y_m,kappa_radpm,w_tr_right_m,w_tr_left_m,d_m
0.000000,-390.086045,-134.836482,0.000007,6.989000,7.117000,-1.024402
2.000000,-389.994968,-132.838716,0.000005,6.992199,7.119000,-1.015722
4.000000,-389.903914,-130.840948,0.000006,6.995398,7.120999,-1.007404
6.000000,-389.812883,-128.843181,0.000006,6.998597,7.122998,-0.999410
8.000000,-389.721873,-126.845410,0.000005,7.001795,7.124997,-0.991774
10.000000,-389.630886,-124.847640,0.000005,7.004995,7.126997,-0.984623
12.000000,-389.539920,-122.849868,0.000005,7.008194,7.128996,-0.978110
14.000000,-389.448976,-120.852096,0.000005,7.011392,7.130995,-0.972391
16.000000,-389.358053,-118.854323,0.000005,7.014591,7.132995,-0.967604
18.000000,-389.267150,-116.856549,0.000005,7.017791,7.134994,-0.963891
20.000000,-389.176269,-114.858773,0.000005,7.020989,7.136994,-0.961193
22.000000,-389.085407,-112.860998,0.000005,7.024188,7.138992,-0.959148
24.000000,-388.994565,-110.863219,0.000005,7.027387,7.140992,-0.955403
26.000000,-388.903741,-108.865442,0.000005,7.030586,7.142991,-0.951208
28.000000,-388.812938,-106.867663,0.000005,7.033785,7.144991,-0.947127
30.000000,-388.722153,-104.869884,0.000005,7.036984,7.146989,-0.942437
32.000000,-388.631386,-102.872103,0.000005,7.040183,7.148989,-0.942938
34.000000,-388.540637,-100.874322,0.000004,7.043381,7.150989,-0.937123
36.000000,-388.449662,-98.871139,0.000004,7.046589,7.152994,-0.932374
38.000000,-388.358947,-96.873356,0.000004,7.049788,7.154992,-0.927905
40.000000,-388.268252,-94.875572,0.000004,7.052987,7.156992,-0.924256
42.000000,-388.177573,-92.877788,0.000004,7.056186,7.158991,-0.921442
44.000000,-388.086911,-90.880003,0.000004,7.059384,7.160991,-0.918968
46.000000,-387.996263,-88.882216,0.000004,7.062584,7.162989,-0.916879
48.000000,-387.905633,-86.884429,0.000004,7.065783,7.164989,-0.915142
50.000000,-387.815019,-84.886643,0.000004,7.068981,7.166989,-0.913699
52.000000,-387.724418,-82.888854,0.000004,7.072180,7.168988,-0.911660
54.000000,-387.633834,-80.891066,0.000004,7.075379,7.170987,-0.909814
56.000000,-387.543265,-78.893276,0.000004,7.078579,7.172986,-0.908110
58.000000,-387.452709,-76.895487,0.000004,7.081779,7.174986,-0.906400
60.000000,-387.362167,-74.897696,0.000003,7.084976,7.176985,-0.904469
62.000000,-387.271639,-72.899904,0.000003,7.088169,7.178984,-0.902221
64.000000,-387.181124,-70.902113,0.000003,7.091367,7.180983,-0.899615
66.000000,-387.090622,-68.904320,0.000003,7.094584,7.182983,-0.896768
68.000000,-387.000133,-66.906527,0.000003,7.097801,7.184983,-0.893949
70.000000,-386.909657,-64.908733,0.000003,7.100971,7.186981,-0.891420
72.000000,-386.819191,-62.910940,0.000003,7.104085,7.188981,-0.889408
74.000000,-386.728739,-60.913144,0.000003,7.107281,7.190980,-0.888094
76.000000,-386.638297,-58.915349,0.000003,7.110728,7.192980,-0.887605
78.000000,-386.547866,-56.917553,0.000003,7.114379,7.194978,-0.888056
80.000000,-386.457447,-54.919757,0.000003,7.117962,7.196978,-0.889529
82.000000,-386.367037,-52.921960,0.000003,7.121272,7.198978,-0.892081
84.000000,-386.276638,-50.924163,0.000003,7.124406,7.200977,-0.895750
86.000000,-386.186250,-48.926365,0.000002,7.127539,7.202976,-0.900518
88.000000,-386.095870,-46.928568,0.000002,7.130738,7.204975,-0.906365
90.000000,-386.005500,-44.930769,0.000002,7.133959,7.206975,-0.913244
92.000000,-385.915139,-42.932970,0.000002,7.137167,7.208974,-0.921099
94.000000,-385.824785,-40.935170,0.000002,7.140361,7.210973,-0.929847
96.000000,-385.734440,-38.937371,0.000002,7.143555,7.212972,-0.939364
98.000000,-385.644103,-36.939571,0.000002,7.146753,7.214972,-0.949509
100.000000,-385.553775,-34.941771,0.000002,7.149954,7.216972,-0.960147
102.000000,-385.463454,-32.943970,0.000002,7.153154,7.218971,-0.971144
104.000000,-385.372896,-30.940769,0.000002,7.156361,7.220975,-0.982423
106.000000,-385.282590,-28.942967,0.000002,7.159559,7.222975,-0.993850
108.000000,-385.192290,-26.945166,0.000002,7.162759,7.224974,-1.005438
110.000000,-385.101998,-24.947365,0.000002,7.165957,7.226974,-1.017161
112.000000,-385.011712,-22.949561,0.000002,7.169156,7.228972,-1.028974
114.000000,-384.921432,-20.951759,0.000002,7.172356,7.230972,-1.040804
116.000000,-384.831159,-18.953956,0.000002,7.175554,7.232972,-1.052560
118.000000,-384.740892,-16.956153,0.000002,7.178753,7.234971,-1.064218
120.000000,-384.650630,-14.958349,0.000001,7.181952,7.236970,-1.075761
122.000000,-384.560375,-12.960546,0.000001,7.185151,7.238969,-1.087145
124.000000,-384.470124,-10.962742,0.000001,7.188350,7.240969,-1.098375
126.000000,-384.379878,-8.964939,0.000001,7.191548,7.242968,-1.109477
128.000000,-384.289637,-6.967133,0.000001,7.194748,7.244967,-1.120478
130.000000,-384.199400,-4.969329,0.000001,7.197947,7.246966,-1.131370
132.000000,-384.109169,-2.971524,0.000001,7.201145,7.248966,-1.142055
134.000000,-384.018942,-0.973720,0.000001,7.204345,7.250966,-1.152420
136.000000,-383.928719,1.024086,0.000001,7.207543,7.252964,-1.162396
138.000000,-383.838500,3.021891,0.000001,7.210742,7.254964,-1.171919
140.000000,-383.748284,5.019696,0.000001,7.213941,7.256963,-1.180925
142.000000,-383.658071,7.017501,0.000001,7.217140,7.258963,-1.189345
144.000000,-383.567862,9.015309,0.000001,7.220339,7.260961,-1.196835
146.000000,-383.477655,11.013114,0.000001,7.223537,7.262961,-1.202933
148.000000,-383.387451,13.010920,0.000001,7.226737,7.264961,-1.207623
150.000000,-383.297251,15.008726,0.000001,7.229936,7.266960,-1.211008
152.000000,-383.207051,17.006531,0.000001,7.233134,7.268959,-1.213181
154.000000,-383.116855,19.004338,0.000001,7.236334,7.270958,-1.214248
156.000000,-383.026661,21.002144,0.000000,7.239533,7.272958,-1.214318
158.000000,-382.936468,22.999952,0.000000,7.242731,7.274957,-1.213496
160.000000,-382.846277,24.997758,0.000000,7.245931,7.276957,-1.211888
162.000000,-382.756086,26.995565,0.000000,7.249129,7.278956,-1.209583
164.000000,-382.665897,28.993371,0.000000,7.252328,7.280955,-1.206643
166.000000,-382.575709,30.991178,0.000000,7.255527,7.282955,-1.203122
168.000000,-382.485521,32.988984,0.000000,7.258726,7.284954,-1.199073
170.000000,-382.395334,34.986791,0.000000,7.261925,7.286953,-1.194520
172.000000,-382.304903,36.989998,0.000000,7.265133,7.288958,-1.189451
174.000000,-382.214716,38.987805,0.000000,7.268331,7.290957,-1.183911
176.000000,-382.124529,40.985611,-0.000000,7.271531,7.292957,-1.177906
178.000000,-382.034342,42.983418,-0.000000,7.274729,7.294955,-1.171434
180.000000,-381.944154,44.981226,-0.000000,7.277928,7.296955,-1.164547
182.000000,-381.853964,46.979033,-0.000000,7.281127,7.298955,-1.157355
184.000000,-381.763773,48.976839,-0.000000,7.284326,7.300954,-1.149922
186.000000,-381.673582,50.974645,-0.000000,7.287525,7.302953,-1.142278
188.000000,-381.583389,52.972451,-0.000000,7.290724,7.304952,-1.134471
190.000000,-381.493195,54.970258,-0.000001,7.293923,7.306952,-1.126572
192.000000,-381.402998,56.968064,-0.000001,7.297122,7.308951,-1.118690
194.000000,-381.312798,58.965870,-0.000001,7.300320,7.310950,-1.110951
196.000000,-381.222597,60.963677,-0.000001,7.303520,7.312950,-1.103490
198.000000,-381.132394,62.961483,-0.000001,7.306719,7.314949,-1.096445
200.000000,-381.042187,64.959289,-0.000001,7.309917,7.316949,-1.090074
202.000000,-380.951978,66.957094,-0.000001,7.313117,7.318948,-1.084934
204.000000,-380.861765,68.954900,-0.000001,7.316315,7.320947,-1.081610
206.000000,-380.771549,70.952704,-0.000001,7.319514,7.322946,-1.080288
208.000000,-380.681329,72.950510,-0.000001,7.322713,7.324946,-1.080697
210.000000,-380.591105,74.948316,-0.000001,7.325912,7.326945,-1.082528
212.000000,-380.500878,76.946121,-0.000001,7.329111,7.328944,-1.085466
214.000000,-380.410645,78.943925,-0.000001,7.332310,7.330944,-1.089210
216.000000,-380.320409,80.941730,-0.000001,7.335509,7.332943,-1.093472
218.000000,-380.230168,82.939533,-0.000001,7.338708,7.334943,-1.098035
220.000000,-380.139922,84.937338,-0.000001,7.341907,7.336941,-1.102923
222.000000,-380.049670,86.935141,-0.000001,7.345106,7.338941,-1.108209
224.000000,-379.959414,88.932945,-0.000001,7.348305,7.340940,-1.113935
226.000000,-379.869152,90.930749,-0.000001,7.351503,7.342940,-1.120102
228.000000,-379.778885,92.928552,-0.000002,7.354702,7.344940,-1.126715
230.000000,-379.688610,94.926355,-0.000002,7.357902,7.346938,-1.133791
232.000000,-379.598330,96.924158,-0.000002,7.361100,7.348938,-1.141343
234.000000,-379.508044,98.921959,-0.000002,7.364299,7.350937,-1.149382
236.000000,-379.417751,100.919761,-0.000002,7.367499,7.352937,-1.157920
238.000000,-379.327451,102.917563,-0.000002,7.370697,7.354935,-1.166966
240.000000,-379.236900,104.920765,-0.000002,7.373905,7.356940,-1.176509
242.000000,-379.146585,106.918566,-0.000002,7.377103,7.358940,-1.186441
244.000000,-379.056264,108.916367,-0.000002,7.380303,7.360939,-1.196773
246.000000,-378.965934,110.914166,-0.000002,7.383502,7.362938,-1.207513
248.000000,-378.875596,112.911968,-0.000002,7.386700,7.364938,-1.218665
250.000000,-378.785251,114.909767,-0.000002,7.389899,7.366937,-1.230234
252.000000,-378.694898,116.907566,-0.000002,7.393099,7.368937,-1.242213
254.000000,-378.604535,118.905364,-0.000002,7.396297,7.370935,-1.254622
256.000000,-378.514164,120.903163,-0.000002,7.399496,7.372935,-1.267497
258.000000,-378.423784,122.900961,-0.000002,7.402695,7.374934,-1.280887
260.000000,-378.333395,124.898759,-0.000002,7.405894,7.376934,-1.294856
262.000000,-378.242996,126.896555,-0.000002,7.409093,7.378934,-1.309478
264.000000,-378.152588,128.894353,-0.000002,7.412292,7.380932,-1.324821
266.000000,-378.062170,130.892149,-0.000002,7.415491,7.382932,-1.340896
268.000000,-377.971742,132.889945,-0.000003,7.418690,7.384931,-1.357652
270.000000,-377.881304,134.887740,-0.000003,7.421888,7.386931,-1.374999
272.000000,-377.790855,136.885535,-0.000003,7.425088,7.388929,-1.392777
274.000000,-377.700396,138.883329,-0.000003,7.428287,7.390929,-1.410774
276.000000,-377.609926,140.881123,-0.000003,7.431485,7.392928,-1.428776
278.000000,-377.519445,142.878917,-0.000003,7.434685,7.394928,-1.446597
280.000000,-377.428952,144.876710,-0.000003,7.437883,7.396928,-1.464141
282.000000,-377.338447,146.874502,-0.000003,7.441082,7.398926,-1.481348
284.000000,-377.247930,148.872294,-0.000003,7.444282,7.400926,-1.498225
286.000000,-377.157402,150.870085,-0.000003,7.447480,7.402925,-1.514884
288.000000,-377.066863,152.867875,-0.000003,7.450679,7.404925,-1.531463
290.000000,-376.976311,154.865666,-0.000003,7.453878,7.406923,-1.548084
292.000000,-376.885745,156.863455,-0.000003,7.457077,7.408923,-1.564859
294.000000,-376.795167,158.861245,-0.000003,7.460276,7.410923,-1.581823
296.000000,-376.704576,160.859033,-0.000003,7.463474,7.412922,-1.598938
298.000000,-376.613972,162.856821,-0.000003,7.466674,7.414921,-1.616120
300.000000,-376.523355,164.854608,-0.000003,7.469873,7.416920,-1.633268
302.000000,-376.432725,166.852395,-0.000004,7.473071,7.418920,-1.650285
304.000000,-376.342080,168.850181,-0.000004,7.476271,7.420919,-1.667091
306.000000,-376.251420,170.847966,-0.000004,7.479470,7.422919,-1.683633
308.000000,-376.160502,172.851151,-0.000004,7.482677,7.424923,-1.699949
310.000000,-376.069813,174.848936,-0.000004,7.485876,7.426922,-1.716011
312.000000,-375.979110,176.846719,-0.000004,7.489075,7.428922,-1.731891
314.000000,-375.888393,178.844502,-0.000004,7.492274,7.430922,-1.747639
316.000000,-375.797659,180.842284,-0.000004,7.495473,7.432920,-1.763361
318.000000,-375.706911,182.840066,-0.000004,7.498671,7.434920,-1.779187
320.000000,-375.616147,184.837846,-0.000004,7.501871,7.436919,-1.795250
322.000000,-375.525368,186.835626,-0.000004,7.505070,7.438919,-1.811692
324.000000,-375.434573,188.833405,-0.000004,7.508269,7.440917,-1.828662
326.000000,-375.343762,190.831183,-0.000004,7.511468,7.442917,-1.846292
328.000000,-375.252933,192.828960,-0.000004,7.514666,7.444917,-1.864712
330.000000,-375.162088,194.826739,-0.000004,7.517865,7.446916,-1.884024
332.000000,-375.071226,196.824514,-0.000004,7.521066,7.448916,-1.904297
334.000000,-374.980348,198.822290,-0.000004,7.524265,7.450914,-1.925574
336.000000,-374.889452,200.820064,-0.000004,7.527459,7.452914,-1.947784
338.000000,-374.798539,202.817838,-0.000004,7.530654,7.454913,-1.970818
340.000000,-374.707607,204.815611,-0.000005,7.533859,7.456913,-1.994570
342.000000,-374.616658,206.813383,-0.000005,7.537081,7.458912,-2.018932
344.000000,-374.525690,208.811154,-0.000005,7.540282,7.460911,-2.043798
346.000000,-374.434705,210.808926,-0.000005,7.543419,7.462911,-2.068983
348.000000,-374.343700,212.806695,-0.000005,7.546550,7.464910,-2.094194
350.000000,-374.252677,214.804464,-0.000005,7.549846,7.466910,-2.119142
352.000000,-374.161635,216.802231,-0.000005,7.553416,7.468908,-2.143695
354.000000,-374.070574,218.799999,-0.000005,7.557069,7.470908,-2.167783
356.000000,-373.979493,220.797765,-0.000005,7.560532,7.472907,-2.191339
358.000000,-373.888394,222.795530,-0.000005,7.563739,7.474907,-2.214296
360.000000,-373.797273,224.793294,-0.000005,7.566853,7.476906,-2.236587
362.000000,-373.706132,226.791059,-0.000005,7.570020,7.478905,-2.258133
364.000000,-373.614972,228.788821,-0.000005,7.573235,7.480905,-2.278870
366.000000,-373.523791,230.786582,-0.000005,7.576452,7.482904,-2.298922
368.000000,-373.432590,232.784343,-0.000005,7.579652,7.484904,-2.318574
370.000000,-373.341367,234.782103,-0.000005,7.582844,7.486902,-2.338123
