s_m,x_m,y_m,kappa_radpm,w_tr_right_m,w_tr_left_m,d_m
0.000000,328.357771,105.981831,-0.013614,8.304927,8.304927,5.331076
2.000000,328.703661,104.006391,-0.006166,8.413357,8.413357,5.203477
4.000000,329.060175,102.033113,0.008050,8.510810,8.510810,5.066227
6.000000,329.469375,100.069815,0.005422,8.554501,8.554501,4.981433
8.000000,329.889739,98.108864,0.002637,8.586848,8.586848,4.906784
10.000000,330.320647,96.150205,0.002102,8.608360,8.608360,4.841749
12.000000,330.760770,94.193594,0.001365,8.620322,8.620322,4.783246
14.000000,331.204946,92.237898,0.000904,8.626631,8.626631,4.726218
16.000000,331.653234,90.283141,0.000539,8.628185,8.628185,4.676305
18.000000,332.103428,88.328821,0.000297,8.626659,8.626659,4.621705
20.000000,332.554155,86.374624,0.000411,8.623452,8.623452,4.571741
22.000000,333.006568,84.420817,0.000545,8.616959,8.616959,4.521015
24.000000,333.461526,82.467600,0.000410,8.606395,8.606395,4.469363
26.000000,333.918251,80.514796,0.000059,8.593358,8.593358,4.415175
28.000000,334.375326,78.562074,-0.000297,8.579964,8.579964,4.356604
30.000000,334.830864,76.608994,-0.000400,8.568702,8.568702,4.292906
32.000000,335.284470,74.655463,-0.000227,8.559976,8.559976,4.224290
34.000000,335.737217,72.701733,-0.000066,8.553181,8.553181,4.152010
36.000000,336.190058,70.748025,-0.000052,8.547158,8.547158,4.077949
38.000000,336.642533,68.794232,-0.000057,8.543038,8.543038,4.001546
40.000000,337.094833,66.840398,-0.000082,8.539540,8.539540,3.924392
42.000000,337.546963,64.886525,-0.000157,8.536462,8.536462,3.846785
44.000000,337.998329,62.932475,-0.000150,8.534665,8.534665,3.768001
46.000000,338.448937,60.978251,-0.000016,8.534099,8.534099,3.688855
48.000000,338.899471,59.024009,0.000118,8.535161,8.535161,3.611165
50.000000,339.350655,57.069918,0.000132,8.537790,8.537790,3.535191
52.000000,339.802456,55.115969,0.000079,8.541412,8.541412,3.461980
54.000000,340.254437,53.162061,0.000049,8.545771,8.545771,3.391945
56.000000,340.706684,51.208215,0.000020,8.551002,8.551002,3.325403
58.000000,341.158987,49.254383,-0.000037,8.556775,8.556775,3.261286
60.000000,341.611225,47.300535,-0.000141,8.562800,8.562800,3.200301
62.000000,342.062961,45.346571,-0.000249,8.568594,8.568594,3.142110
64.000000,342.513560,43.392344,-0.000268,8.573497,8.573497,3.086206
66.000000,342.963035,41.437859,-0.000183,8.577494,8.577494,3.032110
68.000000,343.411691,39.483185,-0.000001,8.580689,8.580689,2.979683
70.000000,343.860239,37.528487,0.000192,8.583059,8.583059,2.929038
72.000000,344.309812,35.574024,0.000253,8.584247,8.584247,2.880645
74.000000,344.760447,33.619806,0.000210,8.584590,8.584590,2.833842
76.000000,345.211892,31.665774,0.000168,8.584988,8.584988,2.787857
78.000000,345.663945,29.711884,0.000115,8.586726,8.586726,2.741951
80.000000,346.116602,27.758133,0.000034,8.590481,8.590481,2.695768
82.000000,346.569243,25.804378,-0.000012,8.595551,8.595551,2.648749
84.000000,347.021843,23.850614,0.000003,8.601663,8.601663,2.600895
86.000000,347.474350,21.896828,0.000051,8.608635,8.608635,2.552240
88.000000,347.927135,19.943107,0.000097,8.615906,8.615906,2.503477
90.000000,348.380262,17.989465,0.000106,8.622945,8.622945,2.454962
92.000000,348.833940,16.035951,0.000065,8.629504,8.629504,2.406881
94.000000,349.287832,14.082487,0.000011,8.635695,8.635695,2.358610
96.000000,349.741771,12.129033,-0.000035,8.641553,8.641553,2.309472
98.000000,350.195580,10.175550,-0.000076,8.646962,8.646962,2.259219
100.000000,350.649056,8.221989,-0.000114,8.651790,8.651790,2.207714
