s_m,x_m,y_m,kappa_radpm,w_tr_right_m,w_tr_left_m,d_m
0.000000,-447.277242,-330.778632,0.000011,7.556000,7.536000,-5.164164
2.000000,-446.105588,-329.159516,0.000009,7.556869,7.536449,-5.141307
4.000000,-444.933965,-327.540376,0.000010,7.557626,7.536818,-5.115852
6.000000,-443.758924,-325.916448,0.000009,7.558385,7.537190,-5.086747
8.000000,-442.587364,-324.297266,0.000009,7.559184,7.537591,-5.045859
10.000000,-441.415832,-322.678061,0.000009,7.559999,7.537999,-5.001791
12.000000,-440.244330,-321.058835,0.000009,7.560805,7.538396,-4.952635
14.000000,-439.069406,-319.434822,0.000008,7.561603,7.538795,-4.900138
16.000000,-437.897960,-317.815556,0.000008,7.562395,7.539210,-4.841812
18.000000,-436.726539,-316.196271,0.000008,7.563190,7.539627,-4.779909
20.000000,-435.555144,-314.576968,0.000008,7.563998,7.539999,-4.709032
22.000000,-434.380327,-312.952879,0.000007,7.564823,7.540315,-4.629793
24.000000,-433.208981,-311.333539,0.000007,7.565622,7.540712,-4.547291
26.000000,-432.037660,-309.714182,0.000007,7.566356,7.541363,-4.462794
28.000000,-430.866361,-308.094808,0.000007,7.567090,7.542215,-4.376232
30.000000,-429.691638,-306.470652,0.000007,7.567999,7.542999,-4.287286
32.000000,-428.520383,-304.851247,0.000006,7.569181,7.543507,-4.196526
34.000000,-427.349149,-303.231827,0.000006,7.570432,7.543841,-4.103900
36.000000,-426.177935,-301.612392,0.000006,7.571484,7.544176,-4.009752
38.000000,-425.003302,-299.988191,0.000006,7.572285,7.544576,-3.914212
40.000000,-423.832115,-298.368715,0.000006,7.572998,7.544999,-3.818251
42.000000,-422.660957,-296.749240,0.000005,7.573770,7.545407,-3.722041
44.000000,-421.489815,-295.129754,0.000005,7.574586,7.545801,-3.625265
46.000000,-420.315256,-293.505505,0.000005,7.575405,7.546198,-3.529063
48.000000,-419.144133,-291.885978,0.000005,7.576205,7.546598,-3.434601
50.000000,-417.973038,-290.266458,0.000004,7.576998,7.546999,-3.342177
52.000000,-416.801957,-288.646927,0.000004,7.577795,7.547399,-3.252571
54.000000,-415.627457,-287.022642,0.000004,7.578598,7.547800,-3.166491
56.000000,-414.456386,-285.403070,0.000004,7.579398,7.548199,-3.085403
58.000000,-413.285342,-283.783512,0.000003,7.580198,7.548598,-3.009981
60.000000,-412.114310,-282.163947,0.000003,7.580997,7.548998,-2.941018
62.000000,-410.943288,-280.544373,0.000003,7.581795,7.549400,-2.879197
64.000000,-409.768828,-278.920025,0.000003,7.582598,7.549801,-2.824670
66.000000,-408.597825,-277.300439,0.000003,7.583398,7.550196,-2.777608
68.000000,-407.426828,-275.680846,0.000002,7.584199,7.550591,-2.737428
70.000000,-406.255841,-274.061248,0.000002,7.584996,7.550998,-2.703663
72.000000,-405.081415,-272.436877,0.000002,7.585792,7.551422,-2.675611
74.000000,-403.910443,-270.817268,0.000002,7.586591,7.551822,-2.652752
76.000000,-402.739477,-269.197653,0.000002,7.587408,7.552156,-2.634364
78.000000,-401.568519,-267.578034,0.000002,7.588225,7.552491,-2.619860
80.000000,-400.394120,-265.953642,0.000002,7.588998,7.552998,-2.608671
82.000000,-399.223174,-264.334013,0.000002,7.589712,7.553780,-2.600339
84.000000,-398.052234,-262.714380,0.000002,7.590510,7.554632,-2.594233
86.000000,-396.881300,-261.094743,0.000002,7.591559,7.555284,-2.589770
88.000000,-395.706925,-259.470335,0.000001,7.592814,7.555684,-2.586400
90.000000,-394.536001,-257.850691,0.000001,7.593995,7.555999,-2.583678
92.000000,-393.365082,-256.231044,0.000001,7.594903,7.556369,-2.581173
94.000000,-392.194166,-254.611392,0.000001,7.595638,7.556787,-2.578508
96.000000,-391.019847,-252.987022,0.000001,7.596374,7.557205,-2.575434
98.000000,-389.848902,-251.367314,0.000001,7.597174,7.557605,-2.571838
100.000000,-388.677999,-249.747654,0.000001,7.597996,7.557998,-2.567651
102.000000,-387.507099,-248.127993,0.000001,7.598803,7.558396,-2.562824
104.000000,-386.332795,-246.503617,0.000001,7.599600,7.558798,-2.557376
106.000000,-385.161861,-244.883896,0.000001,7.600395,7.559198,-2.551456
108.000000,-383.990968,-243.264229,0.000001,7.601194,7.559598,-2.545222
110.000000,-382.820078,-241.644560,0.000001,7.601995,7.559998,-2.538875
112.000000,-381.645787,-240.020183,0.000000,7.602797,7.560397,-2.532588
114.000000,-380.474857,-238.400452,0.000000,7.603596,7.560797,-2.526584
116.000000,-379.303971,-236.780779,0.000000,7.604396,7.561199,-2.521013
118.000000,-378.133086,-235.161107,0.000000,7.605195,7.561599,-2.515879
120.000000,-376.958802,-233.536731,0.000000,7.605997,7.561998,-2.511094
122.000000,-375.787871,-231.916992,-0.000000,7.606795,7.562392,-2.506572
124.000000,-374.616987,-230.297320,-0.000000,7.607594,7.562792,-2.502085
126.000000,-373.446102,-228.677647,-0.000000,7.608395,7.563208,-2.497387
128.000000,-372.275216,-227.057976,-0.000000,7.609196,7.563626,-2.492264
130.000000,-371.100883,-225.433536,-0.000000,7.609996,7.563998,-2.486603
132.000000,-369.929996,-223.813865,-0.000001,7.610789,7.564312,-2.480497
134.000000,-368.759107,-222.194196,-0.000001,7.611587,7.564710,-2.474008
136.000000,-367.588216,-220.574528,-0.000001,7.612404,7.565359,-2.467217
138.000000,-366.413876,-218.950094,-0.000001,7.613223,7.566212,-2.460199
140.000000,-365.242980,-217.330428,-0.000001,7.613994,7.566994,-2.453094
142.000000,-364.072083,-215.710766,-0.000001,7.614709,7.567504,-2.445986
144.000000,-362.901180,-214.091105,-0.000001,7.615506,7.567840,-2.438941
146.000000,-361.726830,-212.466680,-0.000001,7.616557,7.568175,-2.431967
148.000000,-360.555921,-210.847023,-0.000001,7.617808,7.568574,-2.425153
150.000000,-359.385009,-209.227371,-0.000001,7.618990,7.568997,-2.418496
152.000000,-358.214092,-207.607721,-0.000001,7.619899,7.569404,-2.412011
154.000000,-357.039724,-205.983307,-0.000001,7.620636,7.569800,-2.405696
156.000000,-355.868798,-204.363664,-0.000002,7.621370,7.570195,-2.399601
158.000000,-354.697867,-202.744025,-0.000002,7.622170,7.570595,-2.393700
160.000000,-353.526931,-201.124390,-0.000002,7.622992,7.570996,-2.387981
162.000000,-352.352609,-199.500086,-0.000002,7.623801,7.571397,-2.382483
164.000000,-351.181593,-197.880365,-0.000002,7.624596,7.571797,-2.377432
166.000000,-350.010638,-196.260742,-0.000002,7.625391,7.572195,-2.373061
168.000000,-348.839677,-194.641126,-0.000002,7.626190,7.572595,-2.369636
170.000000,-347.665333,-193.016845,-0.000002,7.626993,7.572997,-2.367423
172.000000,-346.494286,-191.397139,-0.000002,7.627793,7.573398,-2.366713
174.000000,-345.323304,-189.777537,-0.000002,7.628592,7.573797,-2.367764
176.000000,-344.152313,-188.157941,-0.000003,7.629391,7.574193,-2.370781
178.000000,-342.977941,-186.533688,-0.000003,7.630192,7.574589,-2.375913
180.000000,-341.806859,-184.914000,-0.000003,7.630992,7.574996,-2.383305
182.000000,-340.635843,-183.294422,-0.000003,7.631793,7.575419,-2.393127
184.000000,-339.464817,-181.674852,-0.000003,7.632592,7.575819,-2.405525
186.000000,-338.293783,-180.055287,-0.000003,7.633387,7.576155,-2.420605
188.000000,-337.119292,-178.430962,-0.000003,7.634184,7.576489,-2.438614
190.000000,-335.948238,-176.811412,-0.000003,7.634991,7.576994,-2.459746
192.000000,-334.777174,-175.191868,-0.000003,7.635813,7.577772,-2.484360
194.000000,-333.606098,-173.572334,-0.000003,7.636613,7.578624,-2.512761
196.000000,-332.431565,-171.948039,-0.000003,7.637350,7.579280,-2.545268
198.000000,-331.260469,-170.328519,-0.000004,7.638084,7.579681,-2.581735
200.000000,-330.089360,-168.709009,-0.000004,7.638988,7.579997,-2.622252
202.000000,-328.918240,-167.089506,-0.000004,7.640166,7.580366,-2.666818
204.000000,-327.743661,-165.465246,-0.000004,7.641421,7.580784,-2.715407
206.000000,-326.572516,-163.845760,-0.000004,7.642475,7.581201,-2.767369
208.000000,-325.401360,-162.226285,-0.000004,7.643276,7.581601,-2.822435
210.000000,-324.230190,-160.606818,-0.000004,7.643990,7.581995,-2.880177
212.000000,-323.055559,-158.982594,-0.000004,7.644762,7.582394,-2.940323
214.000000,-321.884363,-157.363147,-0.000004,7.645578,7.582794,-3.002113
216.000000,-320.713152,-155.743710,-0.000004,7.646396,7.583195,-3.065371
218.000000,-319.541928,-154.124282,-0.000004,7.647194,7.583595,-3.129812
220.000000,-318.367337,-152.500232,-0.000005,7.647990,7.583995,-3.195542
222.000000,-317.195988,-150.880693,-0.000005,7.648787,7.584395,-3.262279
224.000000,-316.024719,-149.261297,-0.000005,7.649589,7.584795,-3.330343
226.000000,-314.853436,-147.641914,-0.000005,7.650389,7.585194,-3.399913
228.000000,-313.678788,-146.017911,-0.000005,7.651190,7.585594,-3.471372
230.000000,-312.507373,-144.398413,-0.000005,7.651989,7.585995,-3.544449
232.000000,-311.336041,-142.779064,-0.000005,7.652788,7.586396,-3.619393
234.000000,-310.164694,-141.159726,-0.000005,7.653588,7.586795,-3.696267
236.000000,-308.989983,-139.535775,-0.000005,7.654389,7.587192,-3.775417
238.000000,-307.818497,-137.916320,-0.000005,7.655189,7.587587,-3.856493
240.000000,-306.647098,-136.297021,-0.000005,7.655989,7.587994,-3.939662
242.000000,-305.475681,-134.677733,-0.000006,7.656789,7.588417,-4.024652
244.000000,-304.300904,-133.053838,-0.000006,7.657591,7.588818,-4.111259
246.000000,-303.129343,-131.434431,-0.000006,7.658386,7.589154,-4.198366
248.000000,-301.957871,-129.815184,-0.000005,7.659180,7.589487,-4.285529
250.000000,-300.786383,-128.195948,-0.000003,7.659988,7.589991,-4.372125
252.000000,-299.614883,-126.576719,0.000001,7.660810,7.590768,-4.457553
254.000000,-298.439939,-124.952722,0.000007,7.661612,7.591623,-4.541419
256.000000,-297.268466,-123.333475,0.000012,7.662348,7.592278,-4.622601
258.000000,-296.097032,-121.714199,0.000017,7.663080,7.592680,-4.700859
260.000000,-294.925653,-120.094884,0.000022,7.663983,7.592995,-4.775714
262.000000,-293.750898,-118.470751,0.000027,7.665164,7.593365,-4.846930
264.000000,-292.579677,-116.851320,0.000032,7.666416,7.593782,-4.913715
266.000000,-291.408560,-115.231816,0.000037,7.667471,7.594199,-4.975988
268.000000,-290.237562,-113.612224,0.000042,7.668272,7.594599,-5.033536
270.000000,-289.063254,-111.987767,0.000047,7.668990,7.594994,-5.086365
272.000000,-287.892546,-110.367968,0.000052,7.669759,7.595392,-5.134162
274.000000,-286.722004,-108.748047,0.000057,7.670575,7.595792,-5.177176
276.000000,-285.551649,-107.127992,0.000062,7.671392,7.596194,-5.215466
278.000000,-284.378049,-105.503023,0.000067,7.672194,7.596595,-5.249153
280.000000,-283.208112,-103.882665,0.000072,7.672987,7.596994,-5.278036
282.000000,-282.038408,-102.262140,0.000077,7.673785,7.597391,-5.302270
284.000000,-280.868954,-100.641433,0.000082,7.674586,7.597792,-5.321945
286.000000,-279.696452,-99.015939,0.000087,7.675387,7.598197,-5.337242
288.000000,-278.527421,-97.394662,0.000092,7.676186,7.598601,-5.348215
290.000000,-277.358815,-95.773343,0.000097,7.676986,7.598993,-5.354934
292.000000,-276.190524,-94.151800,0.000102,7.677790,7.599371,-5.357369
294.000000,-275.019256,-92.525422,0.000107,7.678592,7.599771,-5.355476
296.000000,-273.851515,-90.903208,0.000112,7.679379,7.600233,-5.349221
298.000000,-272.684268,-89.280912,0.000117,7.680164,7.600695,-5.338573
300.000000,-271.517401,-87.658342,0.000122,7.680985,7.600996,-5.323476
302.000000,-270.347630,-86.030896,0.000127,7.681916,7.601218,-5.303716
304.000000,-269.181439,-84.407558,0.000132,7.683158,7.602487,-5.279068
306.000000,-268.015813,-82.784099,0.000137,7.684946,7.606141,-5.248898
308.000000,-266.850630,-81.160318,0.000142,7.687285,7.612111,-5.212532
310.000000,-265.685911,-79.536207,0.000147,7.689948,7.618868,-5.169381
312.000000,-264.518243,-77.906970,0.000152,7.692730,7.625155,-5.118802
314.000000,-263.354497,-76.282160,0.000157,7.695540,7.630996,-5.060600
316.000000,-262.191263,-74.656985,0.000163,7.698351,7.636831,-4.994218
318.000000,-261.028555,-73.031431,0.000167,7.701146,7.642824,-4.919493
320.000000,-259.862972,-71.400703,0.000172,7.703949,7.648891,-4.836128
322.000000,-258.701370,-69.774359,0.000177,7.706751,7.654905,-4.744486
324.000000,-257.540346,-68.147604,0.000182,7.709550,7.660888,-4.644234
326.000000,-256.379913,-66.520426,0.000187,7.712333,7.666872,-4.535263
328.000000,-255.216677,-64.888022,0.000193,7.715122,7.672885,-4.417099
330.000000,-254.057485,-63.259961,0.000198,7.717944,7.678881,-4.290293
332.000000,-252.898938,-61.631441,0.000201,7.720816,7.684869,-4.154308
334.000000,-251.741046,-60.002454,0.000205,7.723617,7.690863,-4.008923
336.000000,-250.580410,-58.368200,0.000214,7.726202,7.696894,-3.853430
338.000000,-249.423874,-56.738251,0.000223,7.728577,7.702909,-3.688457
340.000000,-248.268080,-55.107774,0.000202,7.730947,7.708870,-3.513166
342.000000,-247.113014,-53.476784,0.000127,7.733505,7.714764,-3.327130
344.000000,-245.955133,-51.840900,0.000017,7.736367,7.720769,-3.129662
346.000000,-244.800416,-50.209339,-0.000108,7.739584,7.727054,-2.921803
348.000000,-243.645508,-48.578234,-0.000242,7.742752,7.733545,-2.703078
350.000000,-242.489813,-46.947690,-0.000376,7.744956,7.739852,-2.473443
352.000000,-241.329631,-45.313442,-0.000506,7.745998,7.745755,-2.232130
354.000000,-240.170890,-43.684728,-0.000637,7.748718,7.751679,-1.980229
356.000000,-239.010247,-42.057702,-0.000776,7.756449,7.758238,-1.716851
358.000000,-237.847092,-40.432470,-0.000920,7.764389,7.764891,-1.441684
360.000000,-236.677659,-38.804833,-0.001046,7.759198,7.769910,-1.153684
362.000000,-235.507883,-37.184005,-0.001129,7.731516,7.772065,-0.854119
364.000000,-234.334591,-35.566072,-0.001051,7.690243,7.772660,-0.541648
366.000000,-233.157524,-33.950919,-0.000593,7.648848,7.773604,-0.215341
368.000000,-231.974837,-32.332931,0.000280,7.612380,7.775379,0.128765
370.000000,-230.796003,-30.718634,0.001524,7.577517,7.776977,0.494051
372.000000,-229.621709,-29.101277,0.003133,7.541178,7.777755,0.887680
