s_m,x_m,y_m,kappa_radpm,w_tr_right_m,w_tr_left_m,d_m
0.000000,39.839902,707.813014,0.009822,10.450619,10.450619,5.886151
2.000000,37.876432,707.460483,-0.002019,10.472255,10.472255,5.929418
4.000000,35.911673,707.115225,-0.006942,10.491934,10.491934,5.941344
6.000000,33.942337,706.797221,-0.008258,10.489247,10.489247,5.913546
8.000000,31.965922,706.526525,-0.004348,10.443501,10.443501,5.843005
10.000000,29.988417,706.263900,-0.001401,10.401857,10.401857,5.773168
12.000000,28.010249,706.006321,-0.000784,10.367713,10.367713,5.698723
14.000000,26.031572,705.752682,0.000055,10.340361,10.340361,5.621615
16.000000,24.052967,705.498484,0.000964,10.315752,10.315752,5.546855
18.000000,22.074839,705.240600,0.002228,10.294964,10.294964,5.477583
20.000000,20.097675,704.975438,0.003424,10.279218,10.279218,5.419014
22.000000,18.122851,704.693371,0.003398,10.271034,10.271034,5.379227
24.000000,16.149911,704.398413,0.003084,10.268668,10.268668,5.350726
26.000000,14.178622,704.092613,0.002086,10.271263,10.271263,5.335528
28.000000,12.209548,703.772862,-0.000671,10.280038,10.280038,5.328835
30.000000,10.239519,703.459042,-0.002684,10.285456,10.285456,5.298415
32.000000,8.267520,703.157854,-0.003612,10.284938,10.284938,5.266203
34.000000,6.293870,702.867689,-0.004718,10.279990,10.279990,5.227912
36.000000,4.317084,702.599721,-0.004458,10.271085,10.271085,5.165697
38.000000,2.337818,702.350719,-0.003122,10.259282,10.259282,5.087033
40.000000,0.357294,702.111931,-0.001866,10.246196,10.246196,5.000656
42.000000,-1.624401,701.883064,0.000222,10.232502,10.232502,4.907173
44.000000,-3.606031,701.653631,0.002373,10.220099,10.220099,4.819596
46.000000,-5.586197,701.411895,0.003257,10.211057,10.211057,4.747271
48.000000,-7.564819,701.157828,0.003573,10.205449,10.205449,4.688193
50.000000,-9.541529,700.889289,0.003392,10.202927,10.202927,4.644593
52.000000,-11.516128,700.605642,0.002065,10.203075,10.203075,4.615057
54.000000,-13.489444,700.313200,0.000302,10.204542,10.204542,4.590816
56.000000,-15.462783,700.020916,-0.000531,10.204378,10.204378,4.563593
58.000000,-17.436668,699.732350,-0.000428,10.201901,10.201901,4.532940
60.000000,-19.410668,699.444561,-0.000319,10.199860,10.199860,4.502607
62.000000,-21.384880,699.158236,-0.000308,10.198746,10.198746,4.471260
64.000000,-23.359283,698.873225,-0.000228,10.198376,10.198376,4.439432
66.000000,-25.333794,698.588967,-0.000184,10.197851,10.197851,4.407625
68.000000,-27.308416,698.305483,-0.000129,10.197230,10.197230,4.375642
70.000000,-29.283124,698.022596,-0.000047,10.196231,10.196231,4.343650
72.000000,-31.257840,697.739771,0.000041,10.194443,10.194443,4.312022
74.000000,-33.232559,697.456958,0.000183,10.192219,10.192219,4.281130
76.000000,-35.207172,697.173414,0.000047,10.189593,10.189593,4.252365
78.000000,-37.181580,696.888442,-0.000469,10.186611,10.186611,4.225620
80.000000,-39.156398,696.606319,-0.000848,10.183785,10.183785,4.196716
82.000000,-41.131657,696.327311,-0.001440,10.181161,10.181161,4.166364
84.000000,-43.107516,696.052582,-0.002184,10.178825,10.178825,4.131619
86.000000,-45.084877,695.788882,-0.002080,10.177029,10.177029,4.086211
88.000000,-47.063303,695.533294,-0.001330,10.175645,10.175645,4.034681
90.000000,-49.042441,695.283283,-0.000481,10.174589,10.174589,3.979146
92.000000,-51.021798,695.035001,0.000295,10.173744,10.173744,3.923176
94.000000,-53.000972,694.785272,0.000896,10.172903,10.172903,3.869386
96.000000,-54.979703,694.532051,0.001249,10.171965,10.171965,3.819991
98.000000,-56.957693,694.273115,0.001257,10.170844,10.170844,3.777103
100.000000,-58.935051,694.009386,0.001148,10.169354,10.169354,3.739420
102.000000,-60.911799,693.741127,0.000939,10.167481,10.167481,3.706990
104.000000,-62.887963,693.468606,0.000607,10.165228,10.165228,3.679118
106.000000,-64.863886,693.194332,0.000431,10.162848,10.162848,3.653392
108.000000,-66.839558,692.918258,0.000360,10.160279,10.160279,3.630382
110.000000,-68.815028,692.640746,0.000247,10.157460,10.157460,3.609548
112.000000,-70.790358,692.362238,0.000134,10.154270,10.154270,3.590264
114.000000,-72.765623,692.083267,0.000075,10.150788,10.150788,3.571816
116.000000,-74.740860,691.804099,0.000027,10.147050,10.147050,3.554013
118.000000,-76.716051,691.524604,-0.000079,10.143054,10.143054,3.536890
120.000000,-78.691302,691.245534,-0.000175,10.138893,10.138893,3.519640
122.000000,-80.666654,690.967183,-0.000249,10.134628,10.134628,3.502207
124.000000,-82.642132,690.689726,-0.000365,10.130319,10.130319,3.484358
126.000000,-84.617809,690.413688,-0.000509,10.125918,10.125918,3.465452
128.000000,-86.593767,690.139669,-0.000824,10.121834,10.121834,3.444883
130.000000,-88.570080,689.868226,-0.000987,10.118660,10.118660,3.421369
132.000000,-90.547185,689.602612,-0.000331,10.117293,10.117293,3.392872
134.000000,-92.524470,689.338337,0.000591,10.117414,10.117414,3.365907
136.000000,-94.501312,689.070776,0.000963,10.118620,10.118620,3.344282
138.000000,-96.477597,688.799129,0.000953,10.120888,10.120888,3.327755
140.000000,-98.453365,688.523746,0.000864,10.124074,10.124074,3.315872
142.000000,-100.428647,688.244897,0.000745,10.128044,10.128044,3.308301
144.000000,-102.403511,687.963104,0.000598,10.132621,10.132621,3.304377
146.000000,-104.378033,687.678922,0.000392,10.137546,10.137546,3.303493
148.000000,-106.352309,687.393041,0.000150,10.142555,10.142555,3.304793
150.000000,-108.326529,687.106765,-0.000029,10.147204,10.147204,3.306736
152.000000,-110.300767,686.820620,-0.000142,10.151208,10.151208,3.310166
154.000000,-112.275092,686.535070,-0.000221,10.154524,10.154524,3.314010
156.000000,-114.249548,686.250431,-0.000294,10.157217,10.157217,3.315820
158.000000,-116.224157,685.966856,-0.000404,10.159278,10.159278,3.316055
160.000000,-118.198993,685.684867,-0.000525,10.160653,10.160653,3.315116
162.000000,-120.174134,685.405016,-0.000614,10.161279,10.161279,3.313312
164.000000,-122.149614,685.127576,-0.000694,10.161221,10.161221,3.311107
166.000000,-124.125473,684.852849,-0.000742,10.160503,10.160503,3.308028
168.000000,-126.101761,684.581222,-0.000727,10.159147,10.159147,3.302461
170.000000,-128.078431,684.312384,-0.000689,10.157235,10.157235,3.294063
172.000000,-130.055477,684.046335,-0.000585,10.154776,10.154776,3.283127
174.000000,-132.032859,683.782785,-0.000391,10.151799,10.151799,3.270696
176.000000,-134.010432,683.520680,-0.000169,10.148390,10.148390,3.258248
178.000000,-135.988109,683.259356,0.000179,10.144570,10.144570,3.246435
180.000000,-137.965741,682.997695,0.000518,10.140364,10.140364,3.236755
182.000000,-139.942984,682.733105,0.000561,10.135806,10.135806,3.231335
184.000000,-141.919961,682.466536,0.000491,10.131013,10.131013,3.228632
186.000000,-143.896672,682.198008,0.000402,10.126074,10.126074,3.228990
188.000000,-145.873133,681.927637,0.000228,10.121106,10.121106,3.232199
190.000000,-147.849497,681.656565,0.000112,10.115817,10.115817,3.237358
192.000000,-149.825814,681.385148,0.000072,10.110178,10.110178,3.244524
194.000000,-151.802080,681.113362,0.000036,10.104189,10.104189,3.253417
196.000000,-153.778340,680.841531,0.000027,10.097918,10.097918,3.263121
198.000000,-155.754585,680.569586,0.000022,10.091442,10.091442,3.273182
200.000000,-157.730808,680.297489,0.000009,10.084833,10.084833,3.283285
202.000000,-159.707042,680.025464,0.000026,10.078234,10.078234,3.293475
204.000000,-161.683256,679.753300,0.000031,10.071726,10.071726,3.304482
206.000000,-163.659443,679.480937,0.000033,10.065370,10.065370,3.316485
208.000000,-165.635636,679.208621,0.000069,10.059293,10.059293,3.329478
210.000000,-167.611773,678.935895,0.000080,10.053055,10.053055,3.344214
212.000000,-169.587866,678.662853,0.000048,10.046596,10.046596,3.360424
214.000000,-171.563930,678.389594,0.000017,10.039968,10.039968,3.377785
216.000000,-173.539991,678.116323,0.000010,10.033470,10.033470,3.395844
218.000000,-175.516050,677.843030,0.000004,10.027167,10.027167,3.414433
220.000000,-177.492095,677.569642,-0.000017,10.021095,10.021095,3.433372
222.000000,-179.468161,677.296404,-0.000029,10.015331,10.015331,3.452368
224.000000,-181.444236,677.023230,-0.000041,10.009962,10.009962,3.471570
226.000000,-183.420337,676.750242,-0.000050,10.005055,10.005055,3.491030
228.000000,-185.396465,676.477458,-0.000053,10.000614,10.000614,3.510966
