s_m,x_m,y_m,kappa_radpm,w_tr_right_m,w_tr_left_m,d_m
0.000000,-234.923287,676.146350,-0.000083,7.687000,7.853000,2.458599
2.000000,-235.987872,677.836880,-0.000056,7.690047,7.852075,2.411561
4.000000,-237.055960,679.533467,-0.000065,7.692114,7.849428,2.363905
6.000000,-238.120103,681.224274,-0.000064,7.693904,7.846731,2.316160
8.000000,-239.184032,682.915215,-0.000062,7.695833,7.844672,2.268376
10.000000,-240.251475,684.612210,-0.000061,7.698006,7.842997,2.220653
12.000000,-241.314987,686.303414,-0.000060,7.700426,7.841449,2.173459
14.000000,-242.378298,687.994745,-0.000058,7.702865,7.839858,2.126542
16.000000,-243.445132,689.692121,-0.000057,7.705047,7.838076,2.079655
18.000000,-244.508051,691.383698,-0.000056,7.706980,7.836093,2.032145
20.000000,-245.570781,693.075393,-0.000055,7.709003,7.833997,1.984732
22.000000,-246.633328,694.767205,-0.000053,7.711349,7.831892,1.937415
24.000000,-247.699410,696.465053,-0.000052,7.713825,7.829901,1.889024
26.000000,-248.761598,698.157090,-0.000051,7.716108,7.828164,1.840347
28.000000,-249.823614,699.849234,-0.000050,7.718124,7.826613,1.791957
30.000000,-250.889179,701.547408,-0.000048,7.720007,7.824994,1.743532
32.000000,-251.950861,703.239761,-0.000047,7.721883,7.823123,1.693812
34.000000,-253.012385,704.932214,-0.000046,7.723898,7.821061,1.643709
36.000000,-254.077468,706.630689,-0.000045,7.726194,7.818927,1.594119
38.000000,-255.138685,708.323335,-0.000043,7.728663,7.816865,1.544971
40.000000,-256.199755,710.016073,-0.000042,7.731005,7.814996,1.495884
42.000000,-257.264395,711.714826,-0.000041,7.733023,7.813376,1.446425
44.000000,-258.325183,713.407741,-0.000040,7.734956,7.811826,1.396683
46.000000,-259.385836,715.100739,-0.000038,7.737161,7.810090,1.346412
48.000000,-260.450072,716.799746,-0.000037,7.739638,7.808100,1.295462
50.000000,-261.510469,718.492905,-0.000036,7.742011,7.805990,1.244204
52.000000,-262.570745,720.186141,-0.000035,7.744039,7.803880,1.192477
54.000000,-263.630902,721.879450,-0.000033,7.745966,7.801899,1.140290
56.000000,-264.694657,723.578757,-0.000032,7.748150,7.800159,1.087502
58.000000,-265.754593,725.272205,-0.000031,7.750597,7.798609,1.034614
60.000000,-266.814423,726.965719,-0.000030,7.753008,7.796994,0.981600
62.000000,-267.877862,728.665225,-0.000028,7.755153,7.795115,0.928426
64.000000,-268.937495,730.358863,-0.000027,7.757080,7.793053,0.875662
66.000000,-269.997036,732.052558,-0.000026,7.758938,7.790926,0.823263
68.000000,-271.060197,733.752237,-0.000025,7.760874,7.788858,0.770974
70.000000,-272.119565,735.446040,-0.000024,7.763014,7.786989,0.719034
72.000000,-273.178855,737.139892,-0.000022,7.765429,7.785376,0.667157
74.000000,-274.241776,738.839721,-0.000021,7.767882,7.783819,0.615340
76.000000,-275.300919,740.533666,-0.000020,7.770053,7.782083,0.564078
78.000000,-276.359995,742.227652,-0.000019,7.771979,7.780099,0.513068
80.000000,-277.422714,743.927606,-0.000017,7.774019,7.777981,0.461878
82.000000,-278.481669,745.621668,-0.000016,7.776397,7.775873,0.410716
84.000000,-279.540570,747.315763,-0.000015,7.778865,7.773892,0.359344
86.000000,-280.599421,749.009891,-0.000014,7.781059,7.772158,0.307706
88.000000,-281.661931,750.709977,-0.000012,7.782993,7.770602,0.255632
90.000000,-282.720694,752.404159,-0.000011,7.785016,7.768987,0.203636
92.000000,-283.779418,754.098363,-0.000010,7.787391,7.767116,0.151798
94.000000,-284.841817,755.798520,-0.000008,7.789867,7.765045,0.100232
96.000000,-285.900480,757.492763,-0.000007,7.792069,7.762917,0.049596
98.000000,-286.959119,759.187022,-0.000006,7.794001,7.760855,-0.000597
100.000000,-288.021444,760.887225,-0.000005,7.796022,7.758983,-0.052293
102.000000,-289.080046,762.581507,-0.000004,7.798367,7.757376,-0.105736
104.000000,-290.138636,764.275796,-0.000002,7.800835,7.755824,-0.160695
106.000000,-291.200925,765.976021,-0.000001,7.803129,7.754064,-0.216894
108.000000,-292.259502,767.670317,0.000000,7.805144,7.752063,-0.273457
110.000000,-293.318083,769.364614,0.000001,7.807017,7.749982,-0.330102
112.000000,-294.380372,771.064838,0.000003,7.808894,7.747947,-0.386601
114.000000,-295.438965,772.759126,0.000004,7.810912,7.745967,-0.442221
116.000000,-296.497572,774.453406,0.000005,7.813216,7.743998,-0.496894
118.000000,-297.559903,776.153603,0.000006,7.815709,7.742209,-0.550623
120.000000,-298.618549,777.847858,0.000008,7.818024,7.740991,-0.602898
122.000000,-299.677222,779.542096,0.000009,7.819897,7.740660,-0.653952
124.000000,-300.735925,781.236315,0.000010,7.821378,7.741311,-0.704002
126.000000,-301.798367,782.936443,0.000011,7.822598,7.742975,-0.753583
128.000000,-302.857143,784.630617,0.000013,7.823732,7.745387,-0.802707
130.000000,-303.915963,786.324763,0.000014,7.825016,7.748027,-0.851846
