s_m,x_m,y_m,kappa_radpm,w_tr_right_m,w_tr_left_m,d_m
0.000000,307.113518,205.182522,-0.000026,7.483101,7.483101,-2.712895
2.000000,307.672642,203.262367,0.000126,7.483445,7.483445,-2.721941
4.000000,308.231376,201.342098,0.000014,7.484039,7.484039,-2.730815
6.000000,308.790351,199.421899,0.000029,7.484816,7.484816,-2.739232
8.000000,309.349450,197.501737,0.000000,7.485361,7.485361,-2.747549
10.000000,309.908509,195.581562,-0.000022,7.485932,7.485932,-2.755924
12.000000,310.467529,193.661377,-0.000020,7.486242,7.486242,-2.764106
14.000000,311.026332,191.741128,0.000028,7.486757,7.486757,-2.771816
16.000000,311.585299,189.820927,0.000009,7.487260,7.487260,-2.778648
18.000000,312.144582,187.900818,-0.000040,7.487904,7.487904,-2.784669
20.000000,312.703209,185.980518,-0.000002,7.488279,7.488279,-2.790596
22.000000,313.262217,184.060329,0.000019,7.488975,7.488975,-2.795758
24.000000,313.821084,182.140099,0.000017,7.489399,7.489399,-2.800709
26.000000,314.380146,180.219926,-0.000005,7.489630,7.489630,-2.805419
28.000000,314.939220,178.299756,-0.000017,7.489960,7.489960,-2.810468
30.000000,315.497997,176.379500,0.000001,7.490372,7.490372,-2.816262
32.000000,316.057096,174.459337,-0.000026,7.490593,7.490593,-2.822044
34.000000,316.615858,172.539076,-0.000002,7.490852,7.490852,-2.828465
36.000000,317.174570,170.618801,0.000050,7.491037,7.491037,-2.835568
38.000000,317.733687,168.698644,0.000024,7.491256,7.491256,-2.842874
40.000000,318.292804,166.778487,-0.000018,7.491476,7.491476,-2.850180
42.000000,318.851881,164.858318,-0.000020,7.491471,7.491471,-2.858161
44.000000,319.410769,162.938094,0.000020,7.491339,7.491339,-2.866349
46.000000,319.969776,161.017904,0.000010,7.491365,7.491365,-2.874322
48.000000,320.529045,159.097791,-0.000016,7.491157,7.491157,-2.881626
50.000000,321.087819,157.177534,0.000013,7.490687,7.490687,-2.888601
52.000000,321.647079,155.257418,-0.000011,7.490697,7.490697,-2.894018
54.000000,322.206056,153.337221,-0.000001,7.490496,7.490496,-2.898703
56.000000,322.764950,151.416998,0.000047,7.490568,7.490568,-2.902803
58.000000,323.324281,149.496903,0.000008,7.490507,7.490507,-2.906143
60.000000,323.883544,147.576788,-0.000019,7.489994,7.489994,-2.909493
62.000000,324.442627,145.656621,0.000028,7.490000,7.490000,-2.913153
64.000000,325.001839,143.736492,0.000049,7.489788,7.489788,-2.916809
66.000000,325.561403,141.816465,-0.000040,7.489334,7.489334,-2.920243
68.000000,326.120881,139.896412,-0.000107,7.488589,7.488589,-2.923910
70.000000,326.679565,137.976129,-0.000020,7.487679,7.487679,-2.928658
72.000000,327.238274,136.055853,0.000046,7.486276,7.486276,-2.933651
74.000000,327.797425,134.135706,0.000047,7.485176,7.485176,-2.938362
76.000000,328.356380,132.215501,-0.000019,7.483999,7.483999,-2.943668
78.000000,328.916004,130.295492,-0.000052,7.483040,7.483040,-2.948599
80.000000,329.474201,128.375067,-0.000000,7.482607,7.482607,-2.955559
82.000000,330.033778,126.455044,-0.000024,7.481985,7.481985,-2.961642
84.000000,330.592015,124.534631,0.000052,7.481259,7.481259,-2.969788
86.000000,331.151179,122.614487,0.000069,7.481208,7.481208,-2.977652
88.000000,331.710632,120.694428,-0.000046,7.480711,7.480711,-2.985770
90.000000,332.269639,118.774238,0.000011,7.480606,7.480606,-2.994965
92.000000,332.828543,116.854020,0.000076,7.479442,7.479442,-3.004532
94.000000,333.388264,114.934040,-0.000056,7.480037,7.480037,-3.013422
96.000000,333.947622,113.013953,-0.000079,7.479056,7.479056,-3.022343
98.000000,334.506030,111.093589,0.000069,7.478761,7.478761,-3.031643
100.000000,335.065491,109.173532,0.000060,7.478590,7.478590,-3.039027
102.000000,335.624853,107.253447,-0.000011,7.478480,7.478480,-3.045553
104.000000,336.184275,105.333378,-0.000027,7.477645,7.477645,-3.051458
106.000000,336.743506,103.413254,0.000062,7.477705,7.477705,-3.057738
108.000000,337.302643,101.493103,0.000067,7.476781,7.476781,-3.065014
110.000000,337.863114,99.573340,-0.000069,7.476687,7.476687,-3.071956
112.000000,338.422036,97.653126,-0.000023,7.476405,7.476405,-3.081906
114.000000,338.981666,95.733118,0.000036,7.475899,7.475899,-3.092477
116.000000,339.541074,93.813046,0.000008,7.475566,7.475566,-3.104555
118.000000,340.100776,91.893059,-0.000064,7.474476,7.474476,-3.117769
120.000000,340.660236,89.973002,-0.000085,7.474126,7.474126,-3.132974
122.000000,341.218905,88.052714,0.000025,7.473311,7.473311,-3.150736
124.000000,341.778093,86.132577,0.000070,7.473299,7.473299,-3.169748
126.000000,342.337426,84.212483,0.000025,7.472859,7.472859,-3.190234
128.000000,342.897028,82.292467,-0.000109,7.472394,7.472394,-3.211615
130.000000,343.456323,80.372362,-0.000177,7.472204,7.472204,-3.234142
132.000000,344.014284,78.451869,0.000167,7.468479,7.468479,-3.258751
134.000000,344.572497,76.531449,0.000313,7.466741,7.466741,-3.283950
136.000000,345.134102,74.612019,0.000094,7.466424,7.466424,-3.305917
138.000000,345.693477,72.691937,0.000101,7.464425,7.464425,-3.330459
140.000000,346.255359,70.772587,0.000029,7.464002,7.464002,-3.352492
142.000000,346.816015,68.852879,0.000020,7.461398,7.461398,-3.375517
144.000000,347.377056,66.933283,0.000042,7.459726,7.459726,-3.397993
146.000000,347.938852,65.013908,-0.000060,7.457747,7.457747,-3.419477
148.000000,348.499401,63.094168,0.000128,7.455130,7.455130,-3.442219
150.000000,349.060768,61.174668,0.000175,7.452142,7.452142,-3.464222
152.000000,349.623706,59.255627,-0.000041,7.449541,7.449541,-3.484468
154.000000,350.185368,57.336213,0.000066,7.447286,7.447286,-3.505828
156.000000,350.747384,55.416902,0.000154,7.443618,7.443618,-3.526680
158.000000,351.310983,53.498056,0.000015,7.441495,7.441495,-3.545559
160.000000,351.873433,51.578872,0.000028,7.437496,7.437496,-3.565533
162.000000,352.436824,49.659965,0.000094,7.434862,7.434862,-3.584511
164.000000,352.999908,47.740967,0.000088,7.431001,7.431001,-3.603764
166.000000,353.564107,45.822297,-0.000056,7.427543,7.427543,-3.621779
168.000000,354.127729,43.903457,-0.000139,7.424795,7.424795,-3.640160
170.000000,354.690531,41.984377,-0.000306,7.420478,7.420478,-3.659220
172.000000,355.253411,40.065319,-0.000338,7.415564,7.415564,-3.677777
174.000000,355.812251,38.145082,0.000346,7.407126,7.407126,-3.700110
176.000000,356.373906,36.225666,0.000558,7.401527,7.401527,-3.718896
178.000000,356.939287,34.307347,-0.000010,7.399024,7.399024,-3.732766
180.000000,357.502965,32.388524,-0.000019,7.393425,7.393425,-3.746980
182.000000,358.066178,30.469567,0.000057,7.388925,7.388925,-3.760863
184.000000,358.631737,28.551301,0.000016,7.385423,7.385423,-3.771446
186.000000,359.193938,26.632045,0.000159,7.380468,7.380468,-3.785533
188.000000,359.760754,24.714147,-0.000192,7.378600,7.378600,-3.795010
190.000000,360.324133,22.795236,-0.000099,7.373847,7.373847,-3.808265
192.000000,360.886828,20.876124,0.000238,7.368546,7.368546,-3.822766
194.000000,361.452811,18.957981,-0.000090,7.367201,7.367201,-3.834073
196.000000,362.016555,17.039177,-0.000185,7.361002,7.361002,-3.847468
198.000000,362.580101,15.120317,-0.000090,7.357430,7.357430,-3.861153
200.000000,363.143447,13.201399,0.000095,7.352753,7.352753,-3.874595
202.000000,363.706007,11.282247,0.000195,7.348211,7.348211,-3.888505
204.000000,364.271792,9.364045,0.000011,7.347144,7.347144,-3.897941
206.000000,364.834899,7.445054,-0.000090,7.342238,7.342238,-3.909096
208.000000,365.400299,5.526738,-0.000160,7.340295,7.340295,-3.916671
210.000000,365.962417,3.607459,-0.000023,7.335552,7.335552,-3.926351
212.000000,366.526346,1.688709,-0.000044,7.331992,7.331992,-3.933336
214.000000,367.089581,-0.230242,0.000007,7.328028,7.328028,-3.940421
216.000000,367.651721,-2.149516,0.000065,7.322855,7.322855,-3.948850
218.000000,368.216847,-4.067913,-0.000140,7.319810,7.319810,-3.953944
220.000000,368.778102,-5.987446,0.000223,7.314400,7.314400,-3.962863
222.000000,369.341967,-7.906214,-0.000246,7.312091,7.312091,-3.969032
224.000000,369.907902,-9.824372,-0.000726,7.311433,7.311433,-3.972375
226.000000,370.463306,-11.745603,0.000554,7.299067,7.299067,-3.986636
228.000000,371.026555,-13.664544,0.000366,7.294936,7.294936,-3.993106
230.000000,371.593147,-15.582504,-0.000201,7.293454,7.293454,-3.994896
232.000000,372.150834,-17.503075,0.000368,7.284351,7.284351,-4.005889
234.000000,372.719901,-19.420302,-0.000425,7.287577,7.287577,-4.004414
236.000000,373.280766,-21.339949,-0.000060,7.279757,7.279757,-4.010407
238.000000,373.840138,-23.260032,0.000779,7.272268,7.272268,-4.017640
240.000000,374.409775,-25.177088,-0.000330,7.275450,7.275450,-4.012820
242.000000,374.972336,-27.096239,-0.000028,7.267880,7.267880,-4.013400
244.000000,375.533725,-29.015731,0.000427,7.260711,7.260711,-4.013911
246.000000,376.104101,-30.932560,-0.000504,7.260893,7.260893,-4.002598
248.000000,376.664215,-32.852425,-0.000090,7.252261,7.252261,-3.997715
250.000000,377.228128,-34.771169,0.000721,7.245930,7.245930,-3.986766
252.000000,377.793329,-36.689533,0.000122,7.240518,7.240518,-3.971517
254.000000,378.363216,-38.606514,-0.000640,7.240388,7.240388,-3.948742
256.000000,378.924316,-40.526092,-0.000159,7.229748,7.229748,-3.931039
258.000000,379.488490,-42.444769,0.000646,7.221381,7.221381,-3.906724
260.000000,380.052876,-44.363384,0.000327,7.213141,7.213141,-3.877109
262.000000,380.623681,-46.280094,-0.000540,7.212731,7.212731,-3.831782
264.000000,381.186447,-48.199185,0.000043,7.203411,7.203411,-3.781796
266.000000,381.750592,-50.117871,0.000379,7.193199,7.193199,-3.714276
268.000000,382.320676,-52.034797,-0.000081,7.189208,7.189208,-3.615759
270.000000,382.883319,-53.953923,0.000536,7.175821,7.175821,-3.494998
272.000000,383.453663,-55.870770,0.001077,7.166705,7.166705,-3.341729
274.000000,384.024274,-57.787541,0.001384,7.151484,7.151484,-3.157823
276.000000,384.603169,-59.701823,0.001482,7.132179,7.132179,-2.930888
278.000000,385.186434,-61.614783,0.001458,7.105269,7.105269,-2.667672
280.000000,385.775363,-63.526003,0.001524,7.068130,7.068130,-2.361849
282.000000,386.370886,-65.435183,0.000690,7.027429,7.027429,-1.999769
284.000000,386.970844,-67.342969,-0.000865,6.980359,6.980359,-1.589702
286.000000,387.565881,-69.252297,-0.002232,6.927182,6.927182,-1.140333
288.000000,388.153111,-71.164043,-0.003467,6.874317,6.874317,-0.666779
290.000000,388.726736,-73.079900,-0.004561,6.820983,6.820983,-0.170580
292.000000,389.282255,-75.001085,-0.004723,6.767618,6.767618,0.367985
294.000000,389.817564,-76.928006,-0.004765,6.709330,6.709330,0.954019
296.000000,390.338732,-78.858801,-0.011706,6.636499,6.636499,1.580548
298.000000,390.834848,-80.796165,-0.020982,6.563622,6.563622,2.204371
300.000000,391.213073,-82.759847,-0.022338,6.577292,6.577292,2.753334
302.000000,391.524141,-84.735033,-0.022686,6.614285,6.614285,3.310157
304.000000,391.735862,-86.723160,-0.024726,6.692446,6.692446,3.818049
306.000000,391.853683,-88.719265,-0.028359,6.809994,6.809994,4.290912
308.000000,391.864852,-90.718567,-0.030164,6.995672,6.995672,4.715305
310.000000,391.730308,-92.713324,-0.029566,7.281314,7.281314,5.073837
312.000000,391.512116,-94.701114,-0.059526,7.594458,7.594458,5.420829
314.000000,391.137550,-96.658999,-0.108782,7.912124,7.912124,5.614541
316.000000,390.251690,-98.429079,-0.101836,7.873270,7.873270,5.449313
318.000000,388.968032,-99.961167,-0.053040,7.596583,7.596583,4.917614
320.000000,387.583592,-101.403566,-0.029544,7.403401,7.403401,4.232887
322.000000,386.119223,-102.765098,-0.030903,7.288784,7.288784,3.490827
324.000000,384.582571,-104.043658,-0.029481,7.237811,7.237811,2.700134
326.000000,382.947765,-105.195589,-0.018706,7.306802,7.306802,1.762390
328.000000,381.289940,-106.313764,-0.010289,7.370941,7.370941,0.837545
330.000000,379.600663,-107.384091,-0.006032,7.448442,7.448442,-0.053856
332.000000,377.906409,-108.446681,-0.004389,7.503158,7.503158,-0.865760
334.000000,376.201185,-109.491557,-0.004757,7.548363,7.548363,-1.620773
336.000000,374.485937,-110.519894,-0.004282,7.595403,7.595403,-2.330257
338.000000,372.762211,-111.533974,-0.004752,7.637517,7.637517,-2.996599
340.000000,371.030434,-112.534235,-0.005498,7.670893,7.670893,-3.584873
342.000000,369.285099,-113.510631,-0.003740,7.688359,7.688359,-4.025484
344.000000,367.531479,-114.472105,-0.000587,7.691127,7.691127,-4.336467
346.000000,365.778700,-115.435109,0.000877,7.696785,7.696785,-4.550762
348.000000,364.027942,-116.401783,0.001924,7.702884,7.702884,-4.692682
350.000000,362.279080,-117.371881,0.004021,7.708202,7.708202,-4.782007
